step,pred_api,gold_api,parse_ok,strict_correct,cumulative_regret
31,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,0,16.0000
32,search,Places%%Geographic coordinates by placename,1,0,17.0000
33,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,18.0000
34,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,19.0000
35,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,19.0000
36,get_weather_today,get_weather_today,1,1,19.0000
37,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%All Characters,1,0,20.0000
38,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,20.0000
39,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,20.0000
40,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,21.0000
41,thailand%%thai4,thailand%%thai4,1,1,21.0000
42,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,22.0000
43,siteDomain%%industry list,siteDomain%%industry list,1,1,22.0000
44,search_places,search_places,1,1,22.0000
45,thailand%%thai4,thailand%%thai4,1,1,22.0000
46,thailand%%thai4,thailand%%thai4,1,1,22.0000
47,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,22.0000
48,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,1,0,23.0000
49,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,23.0000
50,Grup Terbuka%%Kirim Pesan,colegiosantaana%%Mensajes-1,1,0,24.0000
51,add_date,add_date,1,1,24.0000
52,get_today_date,get_today_date,1,1,24.0000
53,Global Email V4,Global Email V4%%Global Email V4,1,0,25.0000
54,siteDomain%%industry list,siteDomain%%industry list,1,1,25.0000
55,BART%%Advisory information,BART%%Advisory information,1,0,26.0000
56,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,26.0000
57,getWolframAlphaResults,getWolframAlphaResults,1,0,27.0000
58,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,27.0000
59,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,28.0000
60,siteDomain%%language list,siteDomain%%language list,1,1,28.0000
61,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,29.0000
62,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,29.0000
63,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,29.0000
64,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,30.0000
65,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,30.0000
66,search,disambiguation,1,0,31.0000
67,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,32.0000
68,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,32.0000
69,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,33.0000
70,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,33.0000
71,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,33.0000
72,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,0,34.0000
73,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,35.0000
74,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,35.0000
75,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,36.0000
76,forecast_weather,forecast_weather,1,1,36.0000
77,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,0,37.0000
78,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,38.0000
79,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,38.0000
80,search,Places%%Geographic coordinates by placename,1,0,39.0000
81,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,39.0000
82,Token API%%generate,Token API%%generate,1,1,39.0000
83,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,40.0000
84,None,disambiguation,0,0,41.0000
85,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,42.0000
86,disambiguation,PTL%%update,1,0,43.0000
87,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,44.0000
88,Global Email V4,Global Email V4%%Global Email V4,1,0,45.0000
89,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,46.0000
90,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,47.0000
91,siteDomain%%industry list,siteDomain%%industry list,1,1,47.0000
92,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,47.0000
93,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,47.0000
94,Grup Terbuka%%Kirim Pesan,colegiosantaana%%Mensajes-1,1,0,48.0000
95,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,49.0000
96,Car database%%Makes,Car database%%Makes,1,1,49.0000
97,disambiguation,PTL%%update,1,0,50.0000
98,search,Fluximmo%%get_portail_api,1,0,51.0000
99,get_weather_today,get_weather_today,1,1,51.0000
100,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,51.0000
101,search_places,search_places,1,1,51.0000
102,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,52.0000
103,get_today_date,get_today_date,1,1,52.0000
104,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,52.0000
105,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,53.0000
106,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,53.0000
107,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,53.0000
108,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,53.0000
109,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,1,53.0000
110,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,53.0000
111,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,53.0000
112,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,54.0000
113,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,54.0000
114,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,54.0000
115,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,54.0000
116,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,54.0000
117,search,Places%%Geographic coordinates by placename,1,0,55.0000
118,forecast_weather,forecast_weather,1,1,55.0000
119,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,55.0000
120,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,56.0000
121,Token API%%generate,Token API%%generate,1,1,56.0000
122,getWolframAlphaResults,getWolframAlphaResults,1,0,57.0000
123,Numbers,getWolframAlphaResults,1,0,58.0000
124,disambiguation,disambiguation,1,1,58.0000
125,add_date,add_date,1,1,58.0000
126,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,58.0000
127,add_date,add_date,1,1,58.0000
128,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,58.0000
129,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,58.0000
130,getWolframAlphaResults,getWolframAlphaResults,1,0,59.0000
131,get_weather_today,get_weather_today,1,1,59.0000
132,thailand%%thai4,thailand%%thai4,1,1,59.0000
133,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,59.0000
134,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,59.0000
135,English Talking%%Get an answer,English Talking%%Get an answer,1,0,60.0000
136,getWolframAlphaResults,search_general,1,0,61.0000
137,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,61.0000
138,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,61.0000
139,English Talking%%Get an answer,English Talking%%Get an answer,1,0,62.0000
140,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,62.0000
141,disambiguation,PTL%%update,1,0,63.0000
142,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,63.0000
143,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,63.0000
144,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,64.0000
145,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,65.0000
146,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,66.0000
147,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,66.0000
148,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,get_today_date,1,0,67.0000
149,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,68.0000
150,siteDomain%%industry list,siteDomain%%industry list,1,1,68.0000
151,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,68.0000
152,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,68.0000
153,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,69.0000
154,BART%%Advisory information,BART%%Advisory information,1,0,70.0000
155,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,70.0000
156,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,71.0000
157,siteDomain%%language list,siteDomain%%language list,1,1,71.0000
158,getWolframAlphaResults,get_weather_today,1,0,72.0000
159,search,Places%%Geographic coordinates by placename,1,0,73.0000
160,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,73.0000
161,Numbers%%Get math fact,Numbers%%Get math fact,1,1,73.0000
162,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,73.0000
163,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,73.0000
164,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,73.0000
165,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,73.0000
166,English Talking%%Get an answer,English Talking%%Get an answer,1,0,74.0000
167,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,74.0000
168,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,74.0000
169,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,75.0000
170,search,search_general,1,0,76.0000
171,JAK_API%%Miraculous,JAK_API%%Miraculous,1,1,76.0000
172,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,1,0,77.0000
173,siteDomain%%language list,siteDomain%%language list,1,1,77.0000
174,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,77.0000
175,Car database%%Makes,Car database%%Makes,1,1,77.0000
176,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,77.0000
177,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,78.0000
178,Car database%%Makes,Car database%%Makes,1,1,78.0000
179,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,78.0000
180,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,79.0000
181,get_arxiv_article_information,get_arxiv_article_information,1,0,80.0000
182,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,81.0000
183,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,81.0000
184,English Talking%%Get an answer,English Talking%%Get an answer,1,0,82.0000
185,get_today_date,get_today_date,1,1,82.0000
186,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,82.0000
187,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,83.0000
188,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,0,84.0000
189,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,85.0000
190,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,86.0000
191,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,87.0000
192,Token API%%generate,Token API%%generate,1,1,87.0000
193,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,88.0000
194,Numbers,getWolframAlphaResults,1,0,89.0000
195,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,0,90.0000
196,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,91.0000
197,get_arxiv_article_information,get_arxiv_article_information,1,1,91.0000
198,getWolframAlphaResults,search,1,0,92.0000
199,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,1,0,93.0000
200,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,93.0000
201,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,94.0000
202,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,1,0,95.0000
203,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,95.0000
204,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,95.0000
205,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,96.0000
206,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,97.0000
207,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,97.0000
208,Numbers,Numbers%%Get math fact,1,0,98.0000
209,search,disambiguation,1,0,99.0000
210,add_date,add_date,1,1,99.0000
211,Password Generator API%%Base,Password Generator API%%Base,1,1,99.0000
212,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,0,100.0000
213,Car database%%Makes,Car database%%Makes,1,1,100.0000
214,search,Places%%Geographic coordinates by placename,1,0,101.0000
215,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,102.0000
216,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,103.0000
217,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,103.0000
218,siteDomain%%language list,siteDomain%%language list,1,1,103.0000
219,Password Generator API%%Base,Password Generator API%%Password of length 50,1,0,104.0000
220,search_places,search_places,1,0,105.0000
221,siteDomain%%industry list,siteDomain%%industry list,1,1,105.0000
222,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,105.0000
223,search,disambiguation,1,0,106.0000
224,thailand%%thai4,thailand%%thai4,1,1,106.0000
225,add_date,add_date,1,1,106.0000
226,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,0,107.0000
227,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,107.0000
228,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,107.0000
229,Password Generator API%%Base,Password Generator API%%Base,1,1,107.0000
230,thailand%%thai4,thailand%%thai4,1,1,107.0000
231,English Talking%%Get an answer,English Talking%%Get an answer,1,0,108.0000
232,siteDomain%%industry list,siteDomain%%industry list,1,0,109.0000
233,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,109.0000
234,search,Places%%Geographic coordinates by placename,1,0,110.0000
235,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,110.0000
236,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,110.0000
237,search,getWolframAlphaResults,1,0,111.0000
238,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,1,111.0000
239,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,1,111.0000
240,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,1,0,112.0000
241,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,113.0000
242,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,113.0000
243,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,113.0000
244,forecast_weather,Weather_dataSet%%Weather_dataSet,1,0,114.0000
245,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,114.0000
246,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,115.0000
247,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,115.0000
248,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,116.0000
249,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,117.0000
250,Stadia Maps Time Zone API%%TZ Lookup by Location,Places%%Geographic coordinates by placename,1,0,118.0000
251,Global Email V4,Global Email V4%%Global Email V4,1,0,119.0000
252,Car database%%Makes,Car database%%Makes,1,1,119.0000
253,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,1,119.0000
254,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,120.0000
255,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,120.0000
256,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,120.0000
257,Password Generator API%%Password of length 50,Password Generator API%%Base,1,0,121.0000
258,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,122.0000
259,search,search,1,1,122.0000
260,forecast_weather,forecast_weather,1,1,122.0000
261,get_arxiv_article_information,get_arxiv_article_information,1,1,122.0000
262,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,1,122.0000
263,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,1,122.0000
264,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,122.0000
265,search,search,1,0,123.0000
266,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,123.0000
267,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,123.0000
268,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,1,123.0000
269,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,123.0000
270,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,123.0000
271,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,123.0000
272,search,disambiguation,1,0,124.0000
273,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,124.0000
274,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,0,125.0000
275,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,125.0000
276,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,125.0000
277,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,126.0000
278,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,126.0000
279,search,search_places,1,0,127.0000
280,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,128.0000
281,Global Email V4,Global Email V4%%Global Email V4,1,0,129.0000
282,English Talking%%Get an answer,English Talking%%Get an answer,1,0,130.0000
283,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,131.0000
284,Password Generator API%%Base,Password Generator API%%Password of length 50,1,0,132.0000
285,Car database%%Models,Car database%%Makes,1,0,133.0000
286,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,0,134.0000
287,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,1,134.0000
288,Token API%%generate,Token API%%generate,1,1,134.0000
289,getWolframAlphaResults,search,1,0,135.0000
290,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,136.0000
291,search,search_places,1,0,137.0000
292,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,137.0000
293,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,138.0000
294,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,138.0000
295,Car database%%Makes,Car database%%Makes,1,1,138.0000
296,get_arxiv_article_information,get_arxiv_article_information,1,0,139.0000
297,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,1,139.0000
298,siteDomain%%language list,siteDomain%%language list,1,1,139.0000
299,getWolframAlphaResults,getWolframAlphaResults,1,0,140.0000
300,get_weather_today,Weather_dataSet%%Weather_dataSet,1,0,141.0000
301,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,141.0000
302,Token API%%generate,Token API%%generate,1,1,141.0000
303,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,1,141.0000
304,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,0,142.0000
305,Global Email V4,Global Email V4%%Global Email V4,1,0,143.0000
306,English Talking%%Get an answer,English Talking%%Get an answer,1,0,144.0000
307,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,1,0,145.0000
308,get_today_date,get_today_date,1,1,145.0000
309,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,146.0000
310,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,146.0000
311,JAK_API%%Ben 10,JAK_API%%Ben 10,1,1,146.0000
312,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,1,146.0000
313,BART%%Advisory information,BART%%Advisory information,1,0,147.0000
314,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,147.0000
315,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,1,0,148.0000
316,getWolframAlphaResults,get_today_date,1,0,149.0000
317,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,150.0000
318,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,1,150.0000
319,Numbers,Numbers%%Get math fact,1,0,151.0000
320,Token API%%generate,Token API%%generate,1,1,151.0000
321,siteDomain%%industry list,siteDomain%%industry list,1,1,151.0000
322,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,151.0000
323,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,1,151.0000
324,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,1,151.0000
325,NumbersTranslator,Numbers Translator%%Numbers Translator,1,0,152.0000
326,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,1,152.0000
327,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,153.0000
328,Numbers,Numbers%%Get math fact,1,0,154.0000
329,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,1,154.0000
330,get_today_date,get_today_date,1,1,154.0000
331,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,1,154.0000
332,get_arxiv_article_information,get_arxiv_article_information,1,1,154.0000
333,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,1,0,155.0000
334,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,1,155.0000
335,search,search_places,1,0,156.0000
336,Token API%%generate,Token API%%generate,1,1,156.0000
337,forecast_weather,forecast_weather,1,0,157.0000
338,Password Generator API%%Base,Password Generator API%%Password of length 50,1,0,158.0000
339,search,search_places,1,0,159.0000
340,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,1,159.0000
341,English Talking%%Get an answer,English Talking%%Get an answer,1,0,160.0000
342,Token API%%generate,Token API%%generate,1,1,160.0000
343,get_weather_today,get_weather_today,1,1,160.0000
344,get_weather_today,get_weather_today,1,1,160.0000
345,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,1,0,161.0000
346,forecast_weather,forecast_weather,1,1,161.0000
347,None,disambiguation,0,0,162.0000
348,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,1,0,163.0000
349,Numbers%%Get math fact,Numbers%%Get math fact,1,1,163.0000
350,Global Email V4,Global Email V4%%Global Email V4,1,0,164.0000
351,thailand%%thai4,thailand%%thai4,1,1,164.0000
352,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,1,164.0000
353,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,1,164.0000
