batch_idx,acc_running,cumulative_regret,n_reeval,n_recovered,n_sdft,kl_loss,mem_size,gen_s,reeval_s,train_s
61,0.6242,233.0000,90,0,68,0.000126,404,10.1,77.1,374.7
62,0.6190,240.0000,90,0,62,0.000650,407,8.9,78.6,341.4
63,0.6188,244.0000,90,0,62,0.000173,413,9.8,79.9,348.3
64,0.6185,248.0000,90,0,60,0.000109,419,9.3,78.7,331.9
65,0.6167,253.0000,90,0,59,0.000141,424,9.2,80.5,322.6
66,0.6164,257.0000,90,0,59,0.000722,430,9.9,79.2,321.7
67,0.6176,260.0000,90,0,61,0.000125,437,9.2,79.5,327.4
68,0.6203,262.0000,90,0,62,0.000111,445,9.8,78.5,339.2
69,0.6186,267.0000,90,0,61,0.000287,450,8.9,80.1,327.2
70,0.6183,271.0000,90,0,59,0.000541,456,9.4,79.8,317.5
71,0.6194,274.0000,90,0,59,0.000181,463,9.8,81.7,319.1
72,0.6164,280.0000,90,0,60,0.000510,467,10.1,80.6,334.5
73,0.6176,283.0000,90,1,62,0.000252,475,8.4,82.2,343.4
74,0.6147,289.0000,90,0,59,0.000223,479,8.0,79.8,316.0
