step,pred_api,gold_api,n_icl,parse_ok,strict_correct,cumulative_regret,mem_size
34,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,0,19.0000,16
35,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,1,19.0000,17
36,get_weather_today,get_weather_today,3,1,1,19.0000,18
37,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%All Characters,3,1,0,20.0000,18
38,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,1,20.0000,19
39,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,1,20.0000,20
40,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,1,0,21.0000,20
41,thailand%%thai4,thailand%%thai4,3,1,1,21.0000,21
42,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,3,1,0,22.0000,21
43,siteDomain%%industry list,siteDomain%%industry list,3,1,0,23.0000,21
44,search_places,search_places,3,1,1,23.0000,22
45,thailand%%thai4,thailand%%thai4,3,1,1,23.0000,23
46,thailand%%thai4,thailand%%thai4,3,1,1,23.0000,24
47,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,23.0000,25
48,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,3,1,0,24.0000,25
49,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,1,24.0000,26
50,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,24.0000,27
51,add_date,add_date,3,1,1,24.0000,28
52,get_today_date,get_today_date,3,1,1,24.0000,29
53,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,0,25.0000,29
54,siteDomain%%industry list,siteDomain%%industry list,3,1,1,25.0000,30
55,BART%%Advisory information,BART%%Advisory information,3,1,0,26.0000,30
56,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,1,26.0000,31
57,getWolframAlphaResults,getWolframAlphaResults,3,1,1,26.0000,32
58,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,1,26.0000,33
59,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,1,0,27.0000,33
60,siteDomain%%language list,siteDomain%%language list,3,1,1,27.0000,34
61,get_weather_today,Weather_dataSet%%Weather_dataSet,3,1,0,28.0000,34
62,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,28.0000,35
63,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,1,28.0000,36
64,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,29.0000,36
65,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,29.0000,37
66,search,disambiguation,3,1,0,30.0000,37
67,Password Generator API%%Password of length 50,Password Generator API%%Base,3,1,0,31.0000,37
68,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,1,31.0000,38
69,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,1,0,32.0000,38
70,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,32.0000,39
71,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,1,32.0000,40
72,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Scheduled,3,1,0,33.0000,40
73,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,34.0000,40
74,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,34.0000,41
75,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,35.0000,41
76,forecast_weather,forecast_weather,3,1,1,35.0000,42
77,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,1,0,36.0000,42
78,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,37.0000,42
79,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,1,37.0000,43
80,siteDomain%%industry list,Places%%Geographic coordinates by placename,3,1,0,38.0000,43
81,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,1,38.0000,44
82,Token API%%generate,Token API%%generate,3,1,1,38.0000,45
83,disambiguation,Weather_dataSet%%Weather_dataSet,3,1,0,39.0000,45
84,disambiguation,disambiguation,3,1,1,39.0000,46
85,forecast_weather,Weather_dataSet%%Weather_dataSet,3,1,0,40.0000,46
86,siteDomain%%industry list,PTL%%update,3,1,0,41.0000,46
87,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,1,0,42.0000,46
88,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,0,43.0000,46
89,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,44.0000,46
90,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,45.0000,46
91,siteDomain%%industry list,siteDomain%%industry list,3,1,1,45.0000,47
92,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,45.0000,48
93,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,1,45.0000,49
94,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,45.0000,50
95,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,46.0000,50
96,Car database%%Makes,Car database%%Makes,3,1,1,46.0000,51
97,siteDomain%%industry list,PTL%%update,3,1,0,47.0000,51
98,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,47.0000,52
99,get_weather_today,get_weather_today,3,1,1,47.0000,53
100,JAK_API%%Miraculous,JAK_API%%Miraculous,3,1,1,47.0000,54
101,search_places,search_places,3,1,1,47.0000,55
102,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,3,1,0,48.0000,55
103,get_today_date,get_today_date,3,1,1,48.0000,56
104,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,1,1,48.0000,57
105,Password Generator API%%Password of length 50,Password Generator API%%Base,3,1,0,49.0000,57
106,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,1,49.0000,58
107,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,1,49.0000,59
108,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,1,49.0000,60
109,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,3,1,1,49.0000,61
110,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,1,49.0000,62
111,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,49.0000,63
112,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,0,50.0000,63
113,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,50.0000,64
114,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,50.0000,65
115,get_today_date,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,0,51.0000,65
116,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,51.0000,66
117,siteDomain%%industry list,Places%%Geographic coordinates by placename,3,1,0,52.0000,66
118,forecast_weather,forecast_weather,3,1,1,52.0000,67
119,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,53.0000,67
120,get_weather_today,Weather_dataSet%%Weather_dataSet,3,1,0,54.0000,67
121,Token API%%generate,Token API%%generate,3,1,1,54.0000,68
122,getWolframAlphaResults,getWolframAlphaResults,3,1,1,54.0000,69
123,getWolframAlphaResults,getWolframAlphaResults,3,1,1,54.0000,70
124,disambiguation,disambiguation,3,1,0,55.0000,70
125,add_date,add_date,3,1,1,55.0000,71
126,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,1,55.0000,72
127,add_date,add_date,3,1,1,55.0000,73
128,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,1,55.0000,74
129,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,1,55.0000,75
130,getWolframAlphaResults,getWolframAlphaResults,3,1,1,55.0000,76
131,get_weather_today,get_weather_today,3,1,1,55.0000,77
132,thailand%%thai4,thailand%%thai4,3,1,1,55.0000,78
133,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,55.0000,79
134,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,55.0000,80
135,English Talking%%Get an answer,English Talking%%Get an answer,3,1,1,55.0000,81
136,getWolframAlphaResults,search_general,3,1,0,56.0000,81
137,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,1,56.0000,82
138,JAK_API%%Miraculous,JAK_API%%Miraculous,3,1,1,56.0000,83
139,English Talking%%Get an answer,English Talking%%Get an answer,3,1,0,57.0000,83
140,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,57.0000,84
141,None,PTL%%update,3,1,0,58.0000,84
142,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,58.0000,85
143,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,1,58.0000,86
144,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,0,59.0000,86
145,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,60.0000,86
146,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,3,1,0,61.0000,86
147,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,1,61.0000,87
148,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,get_today_date,3,1,0,62.0000,87
149,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,1,0,63.0000,87
150,siteDomain%%industry list,siteDomain%%industry list,3,1,1,63.0000,88
151,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,63.0000,89
152,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,1,63.0000,90
153,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,64.0000,90
154,BART%%Advisory information,BART%%Advisory information,3,1,0,65.0000,90
155,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,65.0000,91
156,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,1,0,66.0000,91
157,siteDomain%%language list,siteDomain%%language list,3,1,1,66.0000,92
158,forecast_weather,get_weather_today,3,1,0,67.0000,92
159,siteDomain%%industry list,Places%%Geographic coordinates by placename,3,1,0,68.0000,92
160,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,1,68.0000,93
161,Numbers%%Get math fact,Numbers%%Get math fact,3,1,1,68.0000,94
162,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,68.0000,95
163,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,1,68.0000,96
164,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,68.0000,97
165,get_weather_today,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,0,69.0000,97
166,English Talking%%Get an answer,English Talking%%Get an answer,3,1,0,70.0000,97
167,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,1,70.0000,98
168,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,71.0000,98
169,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,72.0000,98
170,getWolframAlphaResults,search_general,3,1,0,73.0000,98
171,JAK_API%%Miraculous,JAK_API%%Miraculous,3,1,1,73.0000,99
172,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,0,74.0000,99
173,siteDomain%%language list,siteDomain%%language list,3,1,1,74.0000,100
174,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,74.0000,101
175,Car database%%Makes,Car database%%Makes,3,1,1,74.0000,102
176,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,74.0000,103
177,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,75.0000,103
178,Car database%%Makes,Car database%%Makes,3,1,1,75.0000,104
179,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,75.0000,105
180,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,76.0000,105
181,get_arxiv_article_information,get_arxiv_article_information,3,1,0,77.0000,105
182,get_weather_today,Weather_dataSet%%Weather_dataSet,3,1,0,78.0000,105
183,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,1,78.0000,106
184,English Talking%%Get an answer,English Talking%%Get an answer,3,1,1,78.0000,107
185,get_today_date,get_today_date,3,1,1,78.0000,108
186,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,78.0000,109
187,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,1,0,79.0000,109
188,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,80.0000,109
189,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,1,0,81.0000,109
190,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,0,82.0000,109
191,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,0,83.0000,109
192,Token API%%generate,Token API%%generate,3,1,1,83.0000,110
193,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,0,84.0000,110
194,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,getWolframAlphaResults,3,1,0,85.0000,110
195,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,0,86.0000,110
196,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,87.0000,110
197,get_arxiv_article_information,get_arxiv_article_information,3,1,1,87.0000,111
198,getWolframAlphaResults,search,3,1,0,88.0000,111
199,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,1,0,89.0000,111
200,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,89.0000,112
201,Password Generator API%%Password of length 50,Password Generator API%%Base,3,1,0,90.0000,112
202,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,3,1,0,91.0000,112
203,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,91.0000,113
204,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,1,91.0000,114
205,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,0,92.0000,114
206,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,1,0,93.0000,114
207,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,93.0000,115
208,Numbers%%Get math fact,Numbers%%Get math fact,3,1,0,94.0000,115
209,disambiguation,disambiguation,3,1,1,94.0000,116
210,add_date,add_date,3,1,1,94.0000,117
211,Password Generator API%%Password of length 50,Password Generator API%%Base,3,1,0,95.0000,117
212,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,96.0000,117
213,Car database%%Makes,Car database%%Makes,3,1,1,96.0000,118
214,search,Places%%Geographic coordinates by placename,3,1,0,97.0000,118
215,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,98.0000,118
216,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,99.0000,118
217,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,1,99.0000,119
218,siteDomain%%language list,siteDomain%%language list,3,1,1,99.0000,120
219,Password Generator API%%Base,Password Generator API%%Password of length 50,3,1,0,100.0000,120
220,search_places,search_places,3,1,1,100.0000,121
221,siteDomain%%industry list,siteDomain%%industry list,3,1,0,101.0000,121
222,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,0,102.0000,121
223,disambiguation,disambiguation,3,1,1,102.0000,122
224,thailand%%thai4,thailand%%thai4,3,1,1,102.0000,123
225,add_date,add_date,3,1,1,102.0000,124
226,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,0,103.0000,124
227,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,1,103.0000,125
228,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,1,103.0000,126
229,Password Generator API%%Base,Password Generator API%%Base,3,1,1,103.0000,127
230,thailand%%thai4,thailand%%thai4,3,1,1,103.0000,128
231,English Talking%%Get an answer,English Talking%%Get an answer,3,1,1,103.0000,129
232,siteDomain%%industry list,siteDomain%%industry list,3,1,0,104.0000,129
233,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,1,104.0000,130
234,search,Places%%Geographic coordinates by placename,3,1,0,105.0000,130
235,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,105.0000,131
236,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,1,105.0000,132
237,search,getWolframAlphaResults,3,1,0,106.0000,132
238,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,1,106.0000,133
239,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,1,106.0000,134
240,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,1,0,107.0000,134
241,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,3,1,0,108.0000,134
242,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,108.0000,135
243,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,108.0000,136
244,forecast_weather,Weather_dataSet%%Weather_dataSet,3,1,0,109.0000,136
245,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,1,109.0000,137
246,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,110.0000,137
247,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,111.0000,137
248,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,1,111.0000,138
249,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,3,1,0,112.0000,138
250,Stadia Maps Time Zone API%%TZ Lookup by Location,Places%%Geographic coordinates by placename,3,1,0,113.0000,138
251,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,1,113.0000,139
252,Car database%%Makes,Car database%%Makes,3,1,1,113.0000,140
253,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,1,113.0000,141
254,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,114.0000,141
255,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,114.0000,142
256,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,1,114.0000,143
257,Password Generator API%%Base,Password Generator API%%Base,3,1,1,114.0000,144
258,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,3,1,0,115.0000,144
259,search,search,3,1,1,115.0000,145
260,forecast_weather,forecast_weather,3,1,1,115.0000,146
261,get_arxiv_article_information,get_arxiv_article_information,3,1,1,115.0000,147
262,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,1,115.0000,148
263,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,1,115.0000,149
264,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,1,115.0000,150
265,search,search,3,1,0,116.0000,150
266,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,1,116.0000,151
267,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,117.0000,151
268,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,1,117.0000,152
269,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,1,117.0000,153
270,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,1,0,118.0000,153
271,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,118.0000,154
272,disambiguation,disambiguation,3,1,1,118.0000,155
273,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,1,118.0000,156
274,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,3,1,0,119.0000,156
275,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,1,119.0000,157
276,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,1,119.0000,158
277,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,3,1,0,120.0000,158
278,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,120.0000,159
279,search_places,search_places,3,1,1,120.0000,160
280,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,121.0000,160
281,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,0,122.0000,160
282,English Talking%%Get an answer,English Talking%%Get an answer,3,1,0,123.0000,160
283,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,124.0000,160
284,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,1,124.0000,161
285,Car database%%Models,Car database%%Makes,3,1,0,125.0000,161
286,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,0,126.0000,161
287,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,1,126.0000,162
288,Token API%%generate,Token API%%generate,3,1,1,126.0000,163
289,search,search,3,1,0,127.0000,163
290,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,1,127.0000,164
291,Fluximmo%%get_portail_api,search_places,3,1,0,128.0000,164
292,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,0,129.0000,164
293,disambiguation,Weather_dataSet%%Weather_dataSet,3,1,0,130.0000,164
294,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,130.0000,165
295,Car database%%Makes,Car database%%Makes,3,1,1,130.0000,166
296,get_arxiv_article_information,get_arxiv_article_information,3,1,0,131.0000,166
297,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,1,131.0000,167
298,siteDomain%%language list,siteDomain%%language list,3,1,1,131.0000,168
299,siteDomain%%language list,getWolframAlphaResults,3,1,0,132.0000,168
300,get_weather_today,Weather_dataSet%%Weather_dataSet,3,1,0,133.0000,168
301,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,1,133.0000,169
302,Token API%%generate,Token API%%generate,3,1,1,133.0000,170
303,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,1,133.0000,171
304,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,1,0,134.0000,171
305,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,0,135.0000,171
306,English Talking%%Get an answer,English Talking%%Get an answer,3,1,1,135.0000,172
307,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,1,0,136.0000,172
308,get_today_date,get_today_date,3,1,1,136.0000,173
309,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,1,0,137.0000,173
