step,pred_api,gold_api,correct,cumulative_regret
73,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,35.0000
74,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,35.0000
75,NumbersTranslator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,36.0000
76,forecast_weather,forecast_weather,1,36.0000
77,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,0,37.0000
78,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,38.0000
79,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,38.0000
80,search,Places%%Geographic coordinates by placename,0,39.0000
81,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,39.0000
82,Token API%%generate,Token API%%generate,1,39.0000
83,get_weather_today,Weather_dataSet%%Weather_dataSet,0,40.0000
84,disambiguation,disambiguation,1,40.0000
85,get_weather_today,Weather_dataSet%%Weather_dataSet,0,41.0000
86,disambiguation,PTL%%update,0,42.0000
87,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,0,43.0000
88,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,0,44.0000
89,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,45.0000
90,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,46.0000
91,siteDomain%%industry list,siteDomain%%industry list,1,46.0000
92,JAK_API%%Ben 10,JAK_API%%Ben 10,1,46.0000
93,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,46.0000
94,Grup Terbuka%%Kirim Pesan,colegiosantaana%%Mensajes-1,0,47.0000
95,NumbersTranslator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,48.0000
96,Car database%%Makes,Car database%%Makes,1,48.0000
97,disambiguation,PTL%%update,0,49.0000
98,siteDomain%%industry list,Fluximmo%%get_portail_api,0,50.0000
99,get_weather_today,get_weather_today,1,50.0000
100,JAK_API%%Miraculous,JAK_API%%Miraculous,1,50.0000
101,search_places,search_places,1,50.0000
102,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,0,51.0000
103,get_today_date,get_today_date,1,51.0000
104,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,51.0000
105,Password Generator API%%Password of length 50,Password Generator API%%Base,0,52.0000
106,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,52.0000
107,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,52.0000
108,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,52.0000
109,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,52.0000
110,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,52.0000
111,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,52.0000
112,NumbersTranslator%%Numbers Translator,Numbers Translator%%Numbers Translator,0,53.0000
113,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,53.0000
114,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,53.0000
115,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,53.0000
116,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,53.0000
117,search,Places%%Geographic coordinates by placename,0,54.0000
118,forecast_weather,forecast_weather,1,54.0000
119,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,54.0000
120,get_weather_today,Weather_dataSet%%Weather_dataSet,0,55.0000
121,Token API%%generate,Token API%%generate,1,55.0000
122,getWolframAlphaResults,getWolframAlphaResults,0,56.0000
123,Numbers,getWolframAlphaResults,0,57.0000
124,disambiguation,disambiguation,1,57.0000
125,add_date,add_date,1,57.0000
126,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,57.0000
127,add_date,add_date,1,57.0000
128,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,57.0000
129,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,57.0000
130,getWolframAlphaResults,getWolframAlphaResults,0,58.0000
131,get_weather_today,get_weather_today,1,58.0000
132,thailand%%thai4,thailand%%thai4,1,58.0000
133,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,58.0000
134,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,58.0000
135,English Talking%%Get an answer,English Talking%%Get an answer,0,59.0000
136,getWolframAlphaResults,search_general,0,60.0000
137,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,60.0000
138,JAK_API%%Miraculous,JAK_API%%Miraculous,1,60.0000
139,English Talking%%Get an answer,English Talking%%Get an answer,0,61.0000
140,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,61.0000
141,disambiguation,PTL%%update,0,62.0000
142,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,62.0000
143,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,62.0000
144,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,0,63.0000
145,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,64.0000
146,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,65.0000
147,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,65.0000
148,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,get_today_date,0,66.0000
149,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,0,67.0000
150,siteDomain%%industry list,siteDomain%%industry list,1,67.0000
151,JAK_API%%Ben 10,JAK_API%%Ben 10,1,67.0000
152,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,67.0000
153,Numbers Translator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,68.0000
154,BART%%Advisory information,BART%%Advisory information,1,68.0000
155,JAK_API%%Ben 10,JAK_API%%Ben 10,1,68.0000
156,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,69.0000
157,siteDomain%%language list,siteDomain%%language list,1,69.0000
158,forecast_weather,get_weather_today,0,70.0000
159,siteDomain%%language list,Places%%Geographic coordinates by placename,0,71.0000
160,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,71.0000
161,Numbers%%Get math fact,Numbers%%Get math fact,1,71.0000
162,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,71.0000
163,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,71.0000
164,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,71.0000
165,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,71.0000
166,English Talking%%Get an answer,English Talking%%Get an answer,0,72.0000
167,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,72.0000
168,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,72.0000
169,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,73.0000
170,getWolframAlphaResults,search_general,0,74.0000
171,JAK_API%%Miraculous,JAK_API%%Miraculous,1,74.0000
172,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,0,75.0000
173,siteDomain%%language list,siteDomain%%language list,1,75.0000
174,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,75.0000
175,Car database%%Makes,Car database%%Makes,1,75.0000
176,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,75.0000
177,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,76.0000
178,Car database%%Makes,Car database%%Makes,1,76.0000
179,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,76.0000
180,Numbers Translator%%Numbers Translator,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,77.0000
181,get_arxiv_article_information,get_arxiv_article_information,0,78.0000
182,forecast_weather,Weather_dataSet%%Weather_dataSet,0,79.0000
183,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,79.0000
184,English Talking%%Get an answer,English Talking%%Get an answer,0,80.0000
185,get_today_date,get_today_date,1,80.0000
186,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,80.0000
187,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,0,81.0000
188,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,0,82.0000
189,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,0,83.0000
190,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,83.0000
191,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,Numbers Translator%%Numbers Translator,0,84.0000
192,Token API%%generate,Token API%%generate,1,84.0000
193,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,84.0000
194,Numbers%%Get math fact,getWolframAlphaResults,0,85.0000
195,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,0,86.0000
196,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,87.0000
197,get_arxiv_article_information,get_arxiv_article_information,1,87.0000
198,getWolframAlphaResults,search,0,88.0000
199,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,0,89.0000
200,JAK_API%%Ben 10,JAK_API%%Ben 10,1,89.0000
201,Password Generator API%%Password of length 50,Password Generator API%%Base,0,90.0000
202,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,1,90.0000
203,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,90.0000
204,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,90.0000
205,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,90.0000
206,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,91.0000
207,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,91.0000
208,Numbers%%Get math fact,Numbers%%Get math fact,0,92.0000
209,disambiguation,disambiguation,1,92.0000
210,add_date,add_date,1,92.0000
211,Password Generator API%%Base,Password Generator API%%Base,1,92.0000
212,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,0,93.0000
213,Car database%%Makes,Car database%%Makes,1,93.0000
214,getWolframAlphaResults,Places%%Geographic coordinates by placename,0,94.0000
215,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,95.0000
216,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,96.0000
217,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,96.0000
218,siteDomain%%language list,siteDomain%%language list,1,96.0000
219,Password Generator API%%Base,Password Generator API%%Password of length 50,0,97.0000
220,search_places,search_places,0,98.0000
221,siteDomain%%industry list,siteDomain%%industry list,1,98.0000
222,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,98.0000
223,disambiguation,disambiguation,1,98.0000
224,thailand%%thai4,thailand%%thai4,1,98.0000
225,add_date,add_date,1,98.0000
226,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,0,99.0000
227,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,99.0000
228,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,99.0000
229,Password Generator API%%Base,Password Generator API%%Base,1,99.0000
230,thailand%%thai4,thailand%%thai4,1,99.0000
231,English Talking%%Get an answer,English Talking%%Get an answer,0,100.0000
232,siteDomain%%industry list,siteDomain%%industry list,0,101.0000
233,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,101.0000
234,siteDomain%%industry list,Places%%Geographic coordinates by placename,0,102.0000
235,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,102.0000
236,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,102.0000
237,getWolframAlphaResults,getWolframAlphaResults,0,103.0000
238,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,103.0000
239,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,1,103.0000
240,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,0,104.0000
241,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,105.0000
242,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,105.0000
243,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,105.0000
244,forecast_weather,Weather_dataSet%%Weather_dataSet,0,106.0000
245,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,106.0000
246,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,107.0000
247,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,0,108.0000
248,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,108.0000
249,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,0,109.0000
250,Stadia Maps Time Zone API%%TZ Lookup by Location,Places%%Geographic coordinates by placename,0,110.0000
251,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,0,111.0000
252,Car database%%Makes,Car database%%Makes,1,111.0000
253,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,1,111.0000
254,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,112.0000
255,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,112.0000
256,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,112.0000
257,Password Generator API%%Base,Password Generator API%%Base,1,112.0000
258,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,113.0000
259,getWolframAlphaResults,search,0,114.0000
260,forecast_weather,forecast_weather,1,114.0000
261,get_arxiv_article_information,get_arxiv_article_information,0,115.0000
262,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,1,115.0000
263,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,1,115.0000
264,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,115.0000
265,disambiguation,search,0,116.0000
266,JAK_API%%Ben 10,JAK_API%%Ben 10,1,116.0000
267,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,116.0000
268,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,1,116.0000
269,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,116.0000
270,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,116.0000
271,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,116.0000
272,disambiguation,disambiguation,1,116.0000
273,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,116.0000
274,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,0,117.0000
275,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,117.0000
276,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,117.0000
277,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,0,118.0000
278,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,118.0000
279,search_places,search_places,1,118.0000
280,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,119.0000
281,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,0,120.0000
282,English Talking%%Get an answer,English Talking%%Get an answer,0,121.0000
283,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,0,122.0000
284,Password Generator API%%Base,Password Generator API%%Password of length 50,0,123.0000
285,Car database%%Makes,Car database%%Makes,1,123.0000
286,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,0,124.0000
287,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,1,124.0000
288,Token API%%generate,Token API%%generate,1,124.0000
289,getWolframAlphaResults,search,0,125.0000
290,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,125.0000
291,Fluximmo%%get_portail_api,search_places,0,126.0000
292,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,126.0000
293,get_weather_today,Weather_dataSet%%Weather_dataSet,0,127.0000
294,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,127.0000
295,Car database%%Makes,Car database%%Makes,1,127.0000
296,get_arxiv_article_information,get_arxiv_article_information,0,128.0000
297,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,1,128.0000
298,siteDomain%%language list,siteDomain%%language list,1,128.0000
299,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,getWolframAlphaResults,0,129.0000
300,get_weather_today,Weather_dataSet%%Weather_dataSet,0,130.0000
301,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,130.0000
302,Token API%%generate,Token API%%generate,1,130.0000
303,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,1,130.0000
304,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,1,130.0000
305,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,0,131.0000
306,English Talking%%Get an answer,English Talking%%Get an answer,0,132.0000
307,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,0,133.0000
308,get_today_date,get_today_date,1,133.0000
309,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,134.0000
310,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,134.0000
311,JAK_API%%Ben 10,JAK_API%%Ben 10,1,134.0000
312,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,1,134.0000
313,BART%%Advisory information,BART%%Advisory information,0,135.0000
314,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,135.0000
315,CatchLoc%%[Group Management] API access for modifying group information,PTL%%update,0,136.0000
316,getWolframAlphaResults,get_today_date,0,137.0000
317,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,137.0000
318,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,1,137.0000
319,Numbers%%Get math fact,Numbers%%Get math fact,1,137.0000
320,Token API%%generate,Token API%%generate,1,137.0000
321,siteDomain%%industry list,siteDomain%%industry list,1,137.0000
322,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,137.0000
323,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,1,137.0000
324,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,1,137.0000
325,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,1,137.0000
326,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,137.0000
327,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,138.0000
328,Numbers%%Get math fact,Numbers%%Get math fact,1,138.0000
329,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,138.0000
330,get_today_date,get_today_date,1,138.0000
331,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,138.0000
332,get_arxiv_article_information,get_arxiv_article_information,1,138.0000
333,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,0,139.0000
334,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,1,139.0000
335,None,search_places,0,140.0000
336,Token API%%generate,Token API%%generate,1,140.0000
337,forecast_weather,forecast_weather,0,141.0000
338,Password Generator API%%Base,Password Generator API%%Password of length 50,0,142.0000
339,search_places,search_places,1,142.0000
340,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,142.0000
341,English Talking%%Get an answer,English Talking%%Get an answer,0,143.0000
342,Token API%%generate,Token API%%generate,1,143.0000
343,get_weather_today,get_weather_today,1,143.0000
344,get_weather_today,get_weather_today,1,143.0000
345,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,0,144.0000
346,forecast_weather,forecast_weather,1,144.0000
347,disambiguation,disambiguation,1,144.0000
348,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,0,145.0000
349,Numbers%%Get math fact,Numbers%%Get math fact,1,145.0000
350,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,0,146.0000
351,thailand%%thai4,thailand%%thai4,1,146.0000
352,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,1,146.0000
353,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,1,146.0000
354,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,1,146.0000
355,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,1,146.0000
356,siteDomain%%language list,siteDomain%%language list,1,146.0000
357,Password Generator API%%Base,Password Generator API%%Base,1,146.0000
358,Soccer Data%%Tournament List,Soccer Data%%Tournament List,1,146.0000
359,JAK_API%%Miraculous,JAK_API%%Miraculous,1,146.0000
360,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,146.0000
361,get_today_date,get_today_date,1,146.0000
362,get_arxiv_article_information,get_arxiv_article_information,0,147.0000
363,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,1,147.0000
