step,pred_api,gold_api,n_icl,strict_correct,cumulative_regret,mem_size
188,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,0,80.0000,116
189,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,3,0,81.0000,116
190,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,81.0000,117
191,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,81.0000,118
192,Token API%%generate,Token API%%generate,3,1,81.0000,119
193,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,81.0000,120
194,getWolframAlphaResults,getWolframAlphaResults,3,1,81.0000,121
195,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,0,82.0000,121
196,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,83.0000,121
197,get_arxiv_article_information,get_arxiv_article_information,3,1,83.0000,122
198,getWolframAlphaResults,search,3,0,84.0000,122
199,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Ingles,3,0,85.0000,122
200,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,85.0000,123
201,Password Generator API%%Password of length 50,Password Generator API%%Base,3,0,86.0000,123
202,Places%%Geographic coordinates by placename,Places%%Geographic coordinates by placename,3,0,87.0000,123
203,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,87.0000,124
204,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,87.0000,125
205,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,87.0000,126
206,GamerPower%%Live giveaways by type,GamerPower%%Live giveaways by type,3,0,88.0000,126
207,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,88.0000,127
208,Numbers%%Get math fact,Numbers%%Get math fact,3,0,89.0000,127
209,disambiguation,disambiguation,3,1,89.0000,128
210,add_date,add_date,3,1,89.0000,129
211,Password Generator API%%Password of length 50,Password Generator API%%Base,3,0,90.0000,129
212,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,90.0000,130
213,Car database%%Makes,Car database%%Makes,3,1,90.0000,131
214,search,Places%%Geographic coordinates by placename,3,0,91.0000,131
215,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,0,92.0000,131
216,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,93.0000,131
217,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,93.0000,132
218,siteDomain%%language list,siteDomain%%language list,3,1,93.0000,133
219,Password Generator API%%Base,Password Generator API%%Password of length 50,3,0,94.0000,133
220,search_places,search_places,3,0,95.0000,133
221,siteDomain%%industry list,siteDomain%%industry list,3,0,96.0000,133
222,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,0,97.0000,133
223,disambiguation,disambiguation,3,1,97.0000,134
224,thailand%%thai4,thailand%%thai4,3,1,97.0000,135
225,add_date,add_date,3,1,97.0000,136
226,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,0,98.0000,136
227,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,98.0000,137
228,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,98.0000,138
229,Password Generator API%%Password of length 50,Password Generator API%%Base,3,0,99.0000,138
230,thailand%%thai4,thailand%%thai4,3,1,99.0000,140
231,English Talking%%Get an answer,English Talking%%Get an answer,3,1,99.0000,141
232,siteDomain%%industry list,siteDomain%%industry list,3,0,100.0000,141
233,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,100.0000,142
234,search_places,Places%%Geographic coordinates by placename,3,0,101.0000,142
235,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,101.0000,143
236,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,101.0000,144
237,search,getWolframAlphaResults,3,0,102.0000,144
238,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,102.0000,145
239,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Scheduled,3,1,102.0000,146
240,Grup Terbuka%%Kirim Pesan,Grup Terbuka%%Kirim Pesan,3,0,103.0000,147
241,PTL%%update,PTL%%update,3,0,104.0000,147
242,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,104.0000,148
243,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,104.0000,149
244,forecast_weather,Weather_dataSet%%Weather_dataSet,3,0,105.0000,149
245,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,105.0000,150
246,GamerPower%%Live giveaways by type,GamerPower%%Filter & Group Giveaways,3,0,106.0000,150
247,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,106.0000,151
248,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,106.0000,152
249,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,3,0,107.0000,152
250,Stadia Maps Time Zone API%%TZ Lookup by Location,Places%%Geographic coordinates by placename,3,0,108.0000,153
251,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,1,108.0000,154
252,Car database%%Makes,Car database%%Makes,3,1,108.0000,155
253,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,1,108.0000,156
254,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,109.0000,156
255,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,109.0000,157
256,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,109.0000,158
257,Password Generator API%%Password of length 50,Password Generator API%%Base,3,0,110.0000,158
258,PTL%%update,PTL%%update,3,0,111.0000,158
259,getWolframAlphaResults,search,3,0,112.0000,158
260,forecast_weather,forecast_weather,3,1,112.0000,159
261,get_arxiv_article_information,get_arxiv_article_information,3,1,112.0000,160
262,JAK_API%%Brawl Stars,JAK_API%%Brawl Stars,3,1,112.0000,161
263,F1 Latest News%%GET recent F1 news from all sources,F1 Latest News%%GET recent F1 news from all sources,3,1,112.0000,162
264,JAK_API%%Genshin Impact,JAK_API%%Genshin Impact,3,1,112.0000,163
265,getWolframAlphaResults,search,3,0,113.0000,163
266,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,113.0000,164
267,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,113.0000,165
268,colegiosantaana%%Mensajes-1,colegiosantaana%%Mensajes-1,3,1,113.0000,166
269,Marvel Vs Capcom 2%%Show Character,Marvel Vs Capcom 2%%Show Character,3,1,113.0000,167
270,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,0,114.0000,167
271,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,114.0000,168
272,disambiguation,disambiguation,3,1,114.0000,169
273,colegiosantaana%%Disciplina-1,colegiosantaana%%Disciplina-1,3,1,114.0000,170
274,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,3,0,115.0000,170
275,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,115.0000,171
276,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,115.0000,172
277,Handball Data%%Daily Match List-Scheduled,Handball Data%%Daily Match List-Live,3,0,116.0000,172
278,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,116.0000,173
279,search_places,search_places,3,1,116.0000,174
280,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,117.0000,174
281,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,0,118.0000,174
282,English Talking%%Get an answer,English Talking%%Get an answer,3,0,119.0000,174
283,GamerPower%%Filter & Group Giveaways,GamerPower%%Filter & Group Giveaways,3,0,120.0000,174
284,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,120.0000,175
285,Car database%%Makes,Car database%%Makes,3,1,120.0000,176
286,Football Dolphin%%Head to head statistics,Football Dolphin%%Head to head statistics,3,0,121.0000,176
287,Stadia Maps Time Zone API%%TZ Lookup by Location,Stadia Maps Time Zone API%%TZ Lookup by Location,3,1,121.0000,177
288,Token API%%generate,Token API%%generate,3,1,121.0000,178
289,getWolframAlphaResults,search,3,0,122.0000,178
290,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,122.0000,179
291,Fluximmo%%get_portail_api,search_places,3,0,123.0000,179
292,CatchLoc%%[Group Management] API access for modifying group information,CatchLoc%%[Group Management] API access for modifying group information,3,1,123.0000,180
293,get_weather_today,Weather_dataSet%%Weather_dataSet,3,0,124.0000,180
294,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,124.0000,181
295,Car database%%Makes,Car database%%Makes,3,1,124.0000,182
296,get_arxiv_article_information,get_arxiv_article_information,3,0,125.0000,182
297,Password Generator API%%Password of length 50,Password Generator API%%Password of length 50,3,1,125.0000,183
298,siteDomain%%language list,siteDomain%%language list,3,1,125.0000,184
299,getWolframAlphaResults,getWolframAlphaResults,3,1,125.0000,185
300,get_weather_today,Weather_dataSet%%Weather_dataSet,3,0,126.0000,185
301,pizzaallapala%%Get Producto Promo,pizzaallapala%%Get Producto Promo,3,1,126.0000,186
302,Token API%%generate,Token API%%generate,3,1,126.0000,187
303,Marvel Vs Capcom 2%%All Characters,Marvel Vs Capcom 2%%All Characters,3,1,126.0000,188
304,GamerPower%%Live giveaways by type,GamerPower%%Filter & Group Giveaways,3,0,127.0000,188
305,Global Email V4%%Global Email V4,Global Email V4%%Global Email V4,3,0,128.0000,188
306,English Talking%%Get an answer,English Talking%%Get an answer,3,1,128.0000,189
307,GamerPower%%Filter & Group Giveaways,GamerPower%%Live giveaways by type,3,0,129.0000,189
308,get_today_date,get_today_date,3,1,129.0000,190
309,Fake Brightcove%%Temp Upload URLs,Fake Brightcove%%Temp Upload URLs,3,0,130.0000,190
310,Soccer Data%%Tournament List,Soccer Data%%Tournament List,3,1,130.0000,191
311,JAK_API%%Ben 10,JAK_API%%Ben 10,3,1,130.0000,192
312,Handball Data%%Daily Match List-Live,Handball Data%%Daily Match List-Live,3,1,130.0000,193
313,BART%%Advisory information,BART%%Advisory information,3,0,131.0000,193
314,Fluximmo%%get_portail_api,Fluximmo%%get_portail_api,3,1,131.0000,194
315,PTL%%update,PTL%%update,3,0,132.0000,194
316,get_today_date,get_today_date,3,1,132.0000,195
317,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,132.0000,196
318,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,NumbersToLetters%%Convertir cantidad a letra Moneda MXN Español,3,1,132.0000,197
319,Numbers%%Get math fact,Numbers%%Get math fact,3,1,132.0000,198
320,Token API%%generate,Token API%%generate,3,1,132.0000,199
321,siteDomain%%industry list,siteDomain%%industry list,3,0,133.0000,199
322,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,133.0000,200
323,MikuAPI%%getRandomImage,MikuAPI%%getRandomImage,3,1,133.0000,201
324,colegiosantaana%%Evaluaciones-1,colegiosantaana%%Evaluaciones-1,3,1,133.0000,202
325,Numbers Translator%%Numbers Translator,Numbers Translator%%Numbers Translator,3,1,133.0000,203
