step,problem_id,greedy_reward,cumulative_regret,batch_idx
265,3788,0.0000,173.4167,26
266,abc359_b,0.3333,174.0833,26
267,3297,1.0000,174.0833,26
268,3676,0.0000,175.0833,26
269,3763,0.0000,176.0833,26
270,abc366_a,1.0000,176.0833,27
271,abc366_e,0.0000,177.0833,27
272,abc392_c,0.0000,178.0833,27
273,2833,0.0000,179.0833,27
274,3351,0.0000,180.0833,27
275,3649,0.0000,181.0833,27
276,abc301_c,0.5000,181.5833,27
277,abc344_b,0.3333,182.2500,27
278,abc399_c,1.0000,182.2500,27
279,abc380_f,0.6667,182.5833,27
280,abc367_c,0.0000,183.5833,28
281,3629,0.5000,184.0833,28
282,abc322_a,1.0000,184.0833,28
283,2979,0.0000,185.0833,28
284,3331,0.0000,186.0833,28
285,abc397_a,1.0000,186.0833,28
286,arc193_a,0.0000,187.0833,28
287,abc361_a,1.0000,187.0833,28
288,abc328_e,0.6667,187.4167,28
289,3518,0.0000,188.4167,28
290,3306,1.0000,188.4167,29
291,2882,1.0000,188.4167,29
292,abc374_g,0.0000,189.4167,29
293,3617,0.0000,190.4167,29
294,abc358_d,0.3333,191.0833,29
295,abc371_a,1.0000,191.0833,29
296,abc343_a,0.0000,192.0833,29
297,abc376_d,0.3333,192.7500,29
298,2786,1.0000,192.7500,29
299,2828,0.6667,193.0833,29
300,3456,0.0000,194.0833,30
301,3299,0.0000,195.0833,30
302,2810,0.0000,196.0833,30
303,3527,0.0000,197.0833,30
304,3476,0.0000,198.0833,30
305,3495,0.5000,198.5833,30
306,abc339_c,0.3333,199.2500,30
307,3194,0.0000,200.2500,30
308,abc363_f,0.3333,200.9167,30
309,abc394_f,0.0000,201.9167,30
310,abc366_c,0.5000,202.4167,31
311,abc351_d,0.0000,203.4167,31
312,3416,0.0000,204.4167,31
313,abc308_f,0.0000,205.4167,31
314,3638,0.3333,206.0833,31
315,abc400_a,0.3333,206.7500,31
316,abc361_d,0.0000,207.7500,31
317,3455,0.5000,208.2500,31
318,3475,0.0000,209.2500,31
319,abc391_e,0.5000,209.7500,31
320,abc309_d,0.0000,210.7500,32
321,3612,0.0000,211.7500,32
322,abc383_b,0.0000,212.7500,32
323,3515,0.0000,213.7500,32
324,abc329_c,0.3333,214.4167,32
325,3655,0.3333,215.0833,32
326,3600,0.0000,216.0833,32
327,abc358_a,1.0000,216.0833,32
328,3793,0.5000,216.5833,32
329,3422,1.0000,216.5833,32
330,3817,1.0000,216.5833,33
331,arc184_e,1.0000,216.5833,33
332,abc310_b,0.0000,217.5833,33
333,2977,0.0000,218.5833,33
334,3412,1.0000,218.5833,33
335,3267,0.3333,219.2500,33
336,3562,0.0000,220.2500,33
337,2756,0.0000,221.2500,33
338,abc389_a,1.0000,221.2500,33
339,abc307_b,1.0000,221.2500,33
340,abc340_c,0.3333,221.9167,34
341,abc332_b,1.0000,221.9167,34
342,abc312_a,1.0000,221.9167,34
343,abc350_b,0.0000,222.9167,34
344,abc325_d,0.3333,223.5833,34
345,abc320_a,1.0000,223.5833,34
346,abc319_b,1.0000,223.5833,34
347,arc193_b,0.0000,224.5833,34
348,abc365_b,1.0000,224.5833,34
349,arc182_c,0.0000,225.5833,34
350,3308,1.0000,225.5833,35
351,arc192_a,1.0000,225.5833,35
352,arc186_e,0.0000,226.5833,35
353,3403,0.0000,227.5833,35
354,3702,0.0000,228.5833,35
355,2728,0.0000,229.5833,35
356,abc349_e,0.5000,230.0833,35
357,abc324_a,1.0000,230.0833,35
358,abc302_d,0.5000,230.5833,35
359,3420,1.0000,230.5833,35
360,3482,0.0000,231.5833,36
361,2819,1.0000,231.5833,36
362,abc353_b,1.0000,231.5833,36
363,abc397_g,1.0000,231.5833,36
364,abc319_d,0.3333,232.2500,36
365,3607,0.6667,232.5833,36
366,abc367_g,1.0000,232.5833,36
367,3701,0.0000,233.5833,36
368,3627,0.3333,234.2500,36
369,3345,0.3333,234.9167,36
370,abc336_b,1.0000,234.9167,37
371,2920,0.6667,235.2500,37
372,abc334_e,0.0000,236.2500,37
373,abc360_e,0.0000,237.2500,37
374,abc360_b,1.0000,237.2500,37
375,abc388_b,1.0000,237.2500,37
376,abc370_b,0.0000,238.2500,37
377,2839,0.0000,239.2500,37
378,abc399_b,1.0000,239.2500,37
379,3751,0.5000,239.7500,37
380,3363,0.0000,240.7500,38
381,3211,0.0000,241.7500,38
382,3360,0.0000,242.7500,38
383,3395,1.0000,242.7500,38
384,abc337_b,0.7500,243.0000,38
385,abc361_f,0.0000,244.0000,38
386,abc386_a,0.6000,244.4000,38
387,3212,0.0000,245.4000,38
388,3534,0.3333,246.0667,38
389,abc327_e,0.0000,247.0667,38
390,abc382_b,1.0000,247.0667,39
391,abc315_c,1.0000,247.0667,39
392,abc342_c,0.6667,247.4000,39
393,abc392_a,1.0000,247.4000,39
394,3832,0.0000,248.4000,39
395,3190,0.0000,249.4000,39
396,abc366_f,1.0000,249.4000,39
397,3199,1.0000,249.4000,39
398,arc185_c,1.0000,249.4000,39
399,abc377_c,0.6667,249.7333,39
400,abc340_b,0.0000,250.7333,40
401,arc196_c,0.0000,251.7333,40
402,abc369_e,0.3333,252.4000,40
403,3583,0.3333,253.0667,40
404,abc371_f,0.0000,254.0667,40
405,abc314_a,0.3333,254.7333,40
406,abc337_e,0.0000,255.7333,40
407,abc326_c,0.0000,256.7333,40
408,abc387_b,0.3333,257.4000,40
409,abc341_c,1.0000,257.4000,40
410,3244,0.0000,258.4000,41
411,abc324_f,0.0000,259.4000,41
412,abc321_c,0.0000,260.4000,41
413,3566,0.0000,261.4000,41
414,3543,1.0000,261.4000,41
415,abc349_b,0.3333,262.0667,41
416,abc375_e,0.5000,262.5667,41
417,2887,1.0000,262.5667,41
418,abc370_a,1.0000,262.5667,41
419,3575,0.0000,263.5667,41
420,3680,1.0000,263.5667,42
421,abc378_b,0.0000,264.5667,42
422,3644,1.0000,264.5667,42
423,abc309_e,0.0000,265.5667,42
424,abc315_b,1.0000,265.5667,42
425,abc353_c,1.0000,265.5667,42
426,abc346_c,1.0000,265.5667,42
427,3018,1.0000,265.5667,42
428,abc390_c,0.6667,265.9000,42
429,abc395_e,0.0000,266.9000,42
430,abc343_d,1.0000,266.9000,43
431,3739,0.0000,267.9000,43
432,abc360_c,0.0000,268.9000,43
433,3657,0.0000,269.9000,43
434,abc374_d,0.0000,270.9000,43
435,3722,0.0000,271.9000,43
436,3568,1.0000,271.9000,43
437,3799,0.0000,272.9000,43
438,3184,0.0000,273.9000,43
439,abc365_e,1.0000,273.9000,43
440,arc185_e,0.0000,274.9000,44
441,abc395_b,1.0000,274.9000,44
442,abc335_a,1.0000,274.9000,44
443,3759,0.5000,275.4000,44
444,abc393_f,0.0000,276.4000,44
445,abc323_a,1.0000,276.4000,44
446,abc396_g,0.0000,277.4000,44
447,abc305_a,1.0000,277.4000,44
448,abc364_c,0.0000,278.4000,44
449,2832,1.0000,278.4000,44
450,abc342_d,0.0000,279.4000,45
451,abc351_c,0.0000,280.4000,45
452,3535,0.0000,281.4000,45
453,3681,0.3333,282.0667,45
454,3188,0.0000,283.0667,45
455,2800,1.0000,283.0667,45
456,2754,0.5000,283.5667,45
457,abc371_e,0.0000,284.5667,45
458,3047,0.0000,285.5667,45
459,3550,0.3333,286.2333,45
460,3154,0.0000,287.2333,46
461,abc395_a,1.0000,287.2333,46
462,abc332_c,0.0000,288.2333,46
463,3172,1.0000,288.2333,46
464,abc341_a,1.0000,288.2333,46
465,abc348_d,0.3333,288.9000,46
466,2850,0.5000,289.4000,46
467,3265,0.0000,290.4000,46
468,abc327_b,0.6667,290.7333,46
469,abc328_d,1.0000,290.7333,46
470,3637,0.0000,291.7333,47
471,abc314_f,0.0000,292.7333,47
472,3223,0.0000,293.7333,47
473,2845,0.0000,294.7333,47
474,abc331_a,1.0000,294.7333,47
475,2998,1.0000,294.7333,47
476,abc339_b,0.3333,295.4000,47
477,3687,0.5000,295.9000,47
478,3353,1.0000,295.9000,47
479,abc345_b,0.8000,296.1000,47
480,3490,0.3333,296.7667,48
481,abc314_d,1.0000,296.7667,48
482,abc368_a,0.5000,297.2667,48
483,abc332_d,0.5000,297.7667,48
484,3316,0.6667,298.1000,48
485,abc307_e,0.0000,299.1000,48
486,arc195_a,1.0000,299.1000,48
487,3246,0.0000,300.1000,48
488,abc330_d,0.3333,300.7667,48
489,abc325_f,0.3333,301.4333,48
490,arc196_a,1.0000,301.4333,49
491,abc344_c,0.0000,302.4333,49
492,abc306_d,0.3333,303.1000,49
493,3094,1.0000,303.1000,49
494,abc394_g,0.0000,304.1000,49
495,3234,1.0000,304.1000,49
496,3647,0.0000,305.1000,49
497,abc350_a,0.6667,305.4333,49
498,abc320_b,1.0000,305.4333,49
499,abc304_a,1.0000,305.4333,49
500,3233,0.0000,306.4333,50
501,abc370_c,0.0000,307.4333,50
502,3454,0.0000,308.4333,50
503,3017,0.0000,309.4333,50
504,arc185_d,0.0000,310.4333,50
505,abc340_e,0.6667,310.7667,50
506,arc184_c,0.0000,311.7667,50
507,abc359_d,0.7500,312.0167,50
508,abc376_e,0.0000,313.0167,50
509,3437,0.0000,314.0167,50
510,abc382_c,0.6667,314.3500,51
511,3616,0.5000,314.8500,51
512,abc382_g,0.0000,315.8500,51
513,abc324_d,0.3333,316.5167,51
514,abc379_c,0.5000,317.0167,51
515,abc330_c,0.3333,317.6833,51
516,abc348_a,1.0000,317.6833,51
517,abc327_a,1.0000,317.6833,51
518,abc379_f,0.5000,318.1833,51
519,3779,0.0000,319.1833,51
520,arc182_e,1.0000,319.1833,52
521,abc384_f,1.0000,319.1833,52
522,arc190_a,0.2500,319.9333,52
523,abc394_c,1.0000,319.9333,52
524,abc338_d,0.3333,320.6000,52
525,abc302_f,0.5000,321.1000,52
526,1873_B,0.0000,322.1000,52
527,abc360_a,1.0000,322.1000,52
528,abc389_b,1.0000,322.1000,52
529,abc314_c,1.0000,322.1000,52
530,arc188_a,0.0000,323.1000,53
531,abc389_g,0.0000,324.1000,53
532,3522,1.0000,324.1000,53
533,abc358_b,1.0000,324.1000,53
534,abc353_d,1.0000,324.1000,53
535,arc181_c,0.0000,325.1000,53
536,abc334_c,0.6667,325.4333,53
537,abc353_a,1.0000,325.4333,53
538,arc189_a,0.0000,326.4333,53
539,3463,0.5000,326.9333,53
540,abc371_d,0.0000,327.9333,54
541,3778,0.0000,328.9333,54
542,arc181_a,0.0000,329.9333,54
543,abc368_b,1.0000,329.9333,54
544,2812,1.0000,329.9333,54
545,abc331_c,0.0000,330.9333,54
546,abc346_e,0.0000,331.9333,54
547,abc391_b,1.0000,331.9333,54
548,abc335_d,0.0000,332.9333,54
549,3773,0.0000,333.9333,54
550,3674,0.0000,334.9333,55
551,abc388_d,0.0000,335.9333,55
552,abc330_e,0.0000,336.9333,55
553,arc187_b,0.0000,337.9333,55
554,abc302_b,0.0000,338.9333,55
555,2802,1.0000,338.9333,55
556,3765,0.0000,339.9333,55
557,3708,0.3333,340.6000,55
558,abc326_b,1.0000,340.6000,55
559,abc335_c,0.0000,341.6000,55
560,3344,1.0000,341.6000,56
561,abc303_c,0.5000,342.1000,56
562,abc308_a,1.0000,342.1000,56
563,3354,1.0000,342.1000,56
564,2834,0.0000,343.1000,56
565,abc342_b,0.0000,344.1000,56
566,3114,0.0000,345.1000,56
567,abc390_b,1.0000,345.1000,56
568,3688,0.5000,345.6000,56
569,abc380_c,0.0000,346.6000,56
570,abc349_c,0.3333,347.2667,57
571,abc331_d,0.0000,348.2667,57
572,3312,0.0000,349.2667,57
573,2808,1.0000,349.2667,57
574,abc349_a,0.3333,349.9333,57
575,3309,0.0000,350.9333,57
576,arc194_c,0.3333,351.6000,57
577,abc375_f,0.0000,352.6000,57
578,3579,0.0000,353.6000,57
579,abc385_e,0.0000,354.6000,57
580,3471,1.0000,354.6000,58
581,abc380_b,0.0000,355.6000,58
582,3091,1.0000,355.6000,58
583,3682,0.3333,356.2667,58
584,3588,0.0000,357.2667,58
585,abc337_c,0.0000,358.2667,58
586,3606,0.0000,359.2667,58
587,arc194_b,0.6667,359.6000,58
588,abc326_e,0.0000,360.6000,58
589,2844,0.0000,361.6000,58
590,3195,0.3333,362.2667,59
591,3801,1.0000,362.2667,59
592,3229,0.3333,362.9333,59
593,3748,0.6667,363.2667,59
594,abc390_d,0.3333,363.9333,59
595,2831,1.0000,363.9333,59
596,abc364_a,0.6667,364.2667,59
597,3230,1.0000,364.2667,59
598,abc396_c,0.3333,364.9333,59
599,3587,1.0000,364.9333,59
600,3684,0.3333,365.6000,60
601,abc393_b,1.0000,365.6000,60
602,abc352_e,1.0000,365.6000,60
603,3426,1.0000,365.6000,60
604,abc355_e,0.0000,366.6000,60
605,3651,0.0000,367.6000,60
606,abc315_e,0.3333,368.2667,60
607,3200,0.0000,369.2667,60
608,abc331_e,1.0000,369.2667,60
609,3659,0.0000,370.2667,60
610,2848,1.0000,370.2667,61
611,abc320_e,0.3333,370.9333,61
612,3584,0.5000,371.4333,61
613,3031,0.0000,372.4333,61
614,2866,0.3333,373.1000,61
615,abc388_f,0.3333,373.7667,61
616,3622,1.0000,373.7667,61
617,abc357_a,0.6667,374.1000,61
618,abc368_f,0.5000,374.6000,61
619,abc304_b,0.5000,375.1000,61
620,abc334_a,1.0000,375.1000,62
621,abc305_d,0.0000,376.1000,62
622,abc367_e,0.6667,376.4333,62
623,abc321_e,0.0000,377.4333,62
624,abc319_e,0.0000,378.4333,62
625,3240,0.0000,379.4333,62
626,abc388_a,1.0000,379.4333,62
627,3106,1.0000,379.4333,62
628,3166,0.0000,380.4333,62
629,3705,0.6667,380.7667,62
630,3209,0.0000,381.7667,63
631,3093,1.0000,381.7667,63
632,abc325_b,0.3333,382.4333,63
633,abc386_b,0.3333,383.1000,63
634,1899_D,0.0000,384.1000,63
635,abc388_e,0.3333,384.7667,63
636,abc368_g,0.0000,385.7667,63
637,abc325_e,0.6667,386.1000,63
638,abc364_d,1.0000,386.1000,63
639,arc186_d,0.0000,387.1000,63
640,3559,0.3333,387.7667,64
641,abc322_c,1.0000,387.7667,64
642,abc339_d,0.3333,388.4333,64
643,abc400_b,1.0000,388.4333,64
644,arc186_c,0.0000,389.4333,64
645,abc335_b,1.0000,389.4333,64
646,abc383_a,0.0000,390.4333,64
647,abc373_e,0.0000,391.4333,64
648,abc357_d,0.0000,392.4333,64
649,3709,1.0000,392.4333,64
650,abc363_c,1.0000,392.4333,65
651,2916,0.6667,392.7667,65
652,3055,1.0000,392.7667,65
653,3469,0.2500,393.5167,65
654,abc369_a,0.6667,393.8500,65
655,abc394_d,1.0000,393.8500,65
656,2727,1.0000,393.8500,65
657,2915,1.0000,393.8500,65
658,abc379_a,1.0000,393.8500,65
659,3376,0.0000,394.8500,65
660,abc325_c,0.5000,395.3500,66
661,abc373_b,0.5000,395.8500,66
662,3203,0.0000,396.8500,66
663,abc395_f,0.0000,397.8500,66
664,abc374_f,0.0000,398.8500,66
665,abc311_a,1.0000,398.8500,66
666,arc191_a,0.0000,399.8500,66
667,3750,0.0000,400.8500,66
668,abc315_d,0.0000,401.8500,66
669,abc397_c,1.0000,401.8500,66
670,abc360_d,0.0000,402.8500,67
671,3439,0.0000,403.8500,67
672,abc392_f,1.0000,403.8500,67
673,arc183_b,0.0000,404.8500,67
674,abc350_c,0.0000,405.8500,67
675,2955,0.0000,406.8500,67
676,abc369_g,0.0000,407.8500,67
677,2837,1.0000,407.8500,67
678,3498,0.5000,408.3500,67
679,3478,1.0000,408.3500,67
680,abc394_b,1.0000,408.3500,68
681,3484,0.5000,408.8500,68
682,3176,1.0000,408.8500,68
683,abc347_a,1.0000,408.8500,68
684,abc310_c,1.0000,408.8500,68
685,abc385_f,0.0000,409.8500,68
686,3519,0.0000,410.8500,68
687,3646,0.0000,411.8500,68
688,abc301_a,1.0000,411.8500,68
689,2954,1.0000,411.8500,68
690,abc357_e,0.0000,412.8500,69
691,3704,1.0000,412.8500,69
692,3700,0.0000,413.8500,69
693,3754,0.0000,414.8500,69
694,abc356_c,0.0000,415.8500,69
695,3408,1.0000,415.8500,69
696,abc393_a,1.0000,415.8500,69
697,abc376_f,0.3333,416.5167,69
698,2873,1.0000,416.5167,69
699,abc328_a,1.0000,416.5167,69
700,abc379_d,0.0000,417.5167,70
701,abc364_f,0.3333,418.1833,70
702,3517,0.0000,419.1833,70
703,3675,0.5000,419.6833,70
704,abc307_a,1.0000,419.6833,70
705,abc324_e,1.0000,419.6833,70
706,abc378_f,0.0000,420.6833,70
707,3239,1.0000,420.6833,70
708,3406,0.0000,421.6833,70
709,3677,0.0000,422.6833,70
710,3809,1.0000,422.6833,71
711,abc380_g,0.0000,423.6833,71
712,abc322_d,0.0000,424.6833,71
713,3349,1.0000,424.6833,71
714,3502,0.5000,425.1833,71
715,abc343_e,0.0000,426.1833,71
716,1873_D,1.0000,426.1833,71
717,arc192_e,0.0000,427.1833,71
718,3261,0.0000,428.1833,71
719,3716,0.0000,429.1833,71
720,abc397_f,0.0000,430.1833,72
721,abc306_b,0.0000,431.1833,72
722,3396,1.0000,431.1833,72
723,abc383_d,0.5000,431.6833,72
724,abc382_d,0.0000,432.6833,72
725,3263,0.6667,433.0167,72
726,abc310_e,0.0000,434.0167,72
727,3032,0.0000,435.0167,72
728,2757,0.0000,436.0167,72
729,abc364_b,1.0000,436.0167,72
730,arc181_b,0.5000,436.5167,73
731,3805,0.2500,437.2667,73
732,abc379_g,0.0000,438.2667,73
733,3811,1.0000,438.2667,73
734,abc355_b,1.0000,438.2667,73
735,2919,1.0000,438.2667,73
736,abc313_a,1.0000,438.2667,73
737,abc400_d,0.5000,438.7667,73
738,abc384_d,0.5000,439.2667,73
739,3329,1.0000,439.2667,73
740,abc396_e,0.0000,440.2667,74
741,3220,1.0000,440.2667,74
742,3356,1.0000,440.2667,74
743,arc195_d,0.0000,441.2667,74
