batch_idx,n_new,n_train_pids,avg_reward,pg_loss,mean_kl,adv_std,ppo_clipfrac,cumulative_regret,gen_time_s,train_time_s,peak_vram_gb
33,10,100,0.5333,-0.157477,0.023033,0.3899,0.0264,221.2500,15.7,11.5,41.9
34,10,100,0.5667,-0.177186,0.026304,0.3985,0.0283,225.5833,21.7,11.4,41.9
35,10,100,0.5000,-0.163291,0.026045,0.3907,0.0262,230.5833,20.7,11.4,41.9
36,10,100,0.5667,-0.143124,0.026523,0.3988,0.0254,234.9167,22.2,11.4,41.9
37,10,100,0.5167,-0.181209,0.029071,0.4049,0.0262,239.7500,17.2,11.4,41.9
38,10,100,0.2683,-0.158575,0.029031,0.4008,0.0239,247.0667,19.5,11.3,41.9
39,10,100,0.7333,-0.156410,0.031549,0.4086,0.0249,249.7333,23.8,11.3,41.9
40,10,100,0.2333,-0.156930,0.034503,0.4089,0.0251,257.4000,20.4,11.6,41.9
41,10,100,0.3833,-0.164902,0.035979,0.4133,0.0275,263.5667,15.4,11.6,41.9
42,10,100,0.6667,-0.182108,0.037297,0.4251,0.0281,266.9000,34.8,11.7,41.9
43,10,100,0.3000,-0.173808,0.037404,0.4253,0.0297,273.9000,15.9,11.8,41.9
44,10,100,0.5500,-0.189072,0.038639,0.4258,0.0303,278.4000,14.4,11.8,41.9
45,10,100,0.2167,-0.187765,0.038405,0.4186,0.0296,286.2333,12.5,11.7,41.9
46,10,100,0.5500,-0.214005,0.043295,0.4128,0.0301,290.7333,20.7,11.7,41.9
47,10,100,0.4633,-0.246946,0.042892,0.4044,0.0297,296.1000,22.0,11.7,41.9
48,10,100,0.4667,-0.246357,0.043921,0.4022,0.0310,301.4333,16.7,11.9,41.9
49,10,100,0.6000,-0.285359,0.043500,0.3956,0.0304,305.4333,25.1,12.0,41.9
50,10,100,0.1417,-0.288365,0.041212,0.3956,0.0313,314.0167,33.7,12.0,41.9
51,10,100,0.4833,-0.309909,0.041961,0.3884,0.0322,319.1833,32.9,12.0,41.9
52,10,100,0.7083,-0.312532,0.045102,0.3773,0.0348,322.1000,27.3,12.0,41.9
53,10,100,0.5167,-0.347633,0.048008,0.3766,0.0327,326.9333,30.3,12.0,41.9
54,10,100,0.3000,-0.323037,0.045554,0.3745,0.0340,333.9333,14.5,12.1,41.9
55,10,100,0.2333,-0.346879,0.047281,0.3834,0.0324,341.6000,29.0,12.2,41.9
56,10,100,0.5000,-0.311904,0.045083,0.3904,0.0309,346.6000,13.9,12.1,41.9
57,10,100,0.2000,-0.281464,0.044347,0.3869,0.0319,354.6000,21.9,12.1,41.9
58,10,100,0.3000,-0.286022,0.045187,0.3914,0.0337,361.6000,22.0,12.1,41.9
59,10,100,0.6667,-0.267369,0.045727,0.3889,0.0346,364.9333,9.7,12.2,41.9
60,10,100,0.4667,-0.274888,0.046122,0.4012,0.0315,370.2667,19.7,12.1,41.9
61,10,100,0.5167,-0.256926,0.047902,0.4038,0.0333,375.1000,12.7,12.0,41.9
62,10,100,0.4333,-0.263057,0.044965,0.4024,0.0350,380.7667,24.2,12.0,41.9
63,10,100,0.3667,-0.224651,0.044091,0.3946,0.0349,387.1000,20.7,12.0,41.9
64,10,100,0.4667,-0.226302,0.047680,0.3931,0.0355,392.4333,22.8,12.0,41.9
65,10,100,0.7583,-0.222041,0.051180,0.3995,0.0355,394.8500,13.7,11.9,41.9
66,10,100,0.3000,-0.230133,0.050472,0.3923,0.0392,401.8500,47.6,11.9,41.9
67,10,100,0.3500,-0.272938,0.049073,0.3949,0.0432,408.3500,43.5,12.0,41.9
68,10,100,0.6500,-0.297333,0.054075,0.4032,0.0435,411.8500,17.0,12.0,41.9
69,10,100,0.5333,-0.314397,0.055944,0.4050,0.0519,416.5167,13.5,11.9,41.9
70,10,100,0.3833,-0.340127,0.056094,0.3980,0.0573,422.6833,41.9,11.9,41.9
71,10,100,0.3500,-0.405738,0.050120,0.3970,0.0630,429.1833,44.4,12.2,41.9
72,10,100,0.3167,-0.387227,0.052760,0.3927,0.0614,436.0167,53.4,12.2,41.9
73,10,100,0.6750,-0.450556,0.057687,0.3910,0.0602,439.2667,63.5,12.2,41.9
74,10,100,0.3000,-0.497304,0.055152,0.3795,0.0623,446.2667,43.4,12.4,41.9
75,10,100,0.1250,-0.461088,0.055357,0.3544,0.0759,455.0167,73.8,12.6,41.9
76,10,100,0.3083,-0.499295,0.059904,0.3477,0.0799,461.9333,54.4,12.9,41.9
77,10,100,0.5333,-0.525455,0.064692,0.3542,0.0805,466.6000,43.6,12.8,41.9
78,10,100,0.2667,-0.528367,0.063829,0.3295,0.0863,473.9333,43.8,13.2,41.9
79,10,100,0.3917,-0.540573,0.066453,0.3181,0.0902,480.0167,43.7,13.5,41.9
80,10,100,0.4500,-0.627295,0.073066,0.3049,0.0869,485.5167,53.6,13.7,41.9
81,10,100,0.2167,-0.608393,0.078476,0.2965,0.0826,493.3500,43.2,13.5,41.9
82,10,100,0.5833,-0.668127,0.083869,0.3014,0.0737,497.5167,36.0,13.4,41.9
83,10,100,0.2833,-0.629868,0.085199,0.2901,0.0796,504.6833,43.8,13.3,41.9
84,10,100,0.1250,-0.572263,0.086920,0.2860,0.0801,513.4333,43.4,13.4,41.9
85,10,100,0.2000,-0.668126,0.081952,0.2762,0.0713,521.4333,43.9,13.8,41.9
86,10,100,0.3000,-0.617444,0.079525,0.2901,0.0686,528.4333,43.7,13.7,41.9
87,10,100,0.1333,-0.605655,0.074371,0.2644,0.0707,537.1000,43.8,14.2,41.9
88,10,100,0.2000,-0.601130,0.064352,0.2635,0.0643,545.1000,43.8,14.1,41.9
89,10,100,0.3333,-0.563443,0.062061,0.2650,0.0621,551.7667,64.2,14.1,47.4
90,10,100,0.4000,-0.462889,0.054408,0.2821,0.0657,557.7667,44.0,14.3,47.4
91,10,100,0.5500,-0.513276,0.057490,0.2896,0.0638,562.2667,54.1,14.3,47.4
92,10,100,0.4500,-0.459686,0.053417,0.2932,0.0645,567.7667,63.9,14.5,47.4
93,10,100,0.5500,-0.494884,0.049438,0.3067,0.0620,572.2667,43.9,14.7,47.4
94,10,100,0.5500,-0.553247,0.056977,0.3118,0.0540,576.7667,44.0,14.6,47.4
95,10,100,0.2667,-0.492567,0.066152,0.3151,0.0610,584.1000,44.0,14.5,47.4
96,10,100,0.5667,-0.507630,0.078905,0.3186,0.0679,588.4333,43.5,14.3,47.4
97,10,100,0.4333,-0.399644,0.080391,0.3758,0.0774,594.1000,73.4,14.2,47.4
98,10,100,0.2333,-0.273572,0.086914,0.4151,0.0828,601.7667,44.2,14.4,47.4
99,10,100,0.3083,-0.216311,0.091733,0.4246,0.0935,608.6833,43.7,14.4,47.4
100,10,100,0.3000,-0.094989,0.093278,0.5115,0.1143,615.6833,53.7,14.2,47.4
101,10,100,0.2000,-0.028054,0.087123,0.5330,0.1258,623.6833,43.6,14.5,47.4
102,10,100,0.4000,0.007536,0.077399,0.5621,0.1397,629.6833,63.6,14.6,47.4
103,10,100,0.3000,0.088685,0.072025,0.6279,0.1530,636.6833,43.3,14.7,47.4
104,10,100,0.1333,0.130601,0.050207,0.6418,0.1492,645.3500,43.8,15.0,47.4
105,5,95,0.5667,0.153724,0.045255,0.6440,0.1388,647.5167,53.0,14.1,47.4
