batch_idx,n_problems,n_with_icl,n_new_into_mem,n_reeval,n_reeval_replaced,avg_greedy_reward,cumulative_regret,kl_loss,gen_time_s,oracle_time_s,reeval_gen_time_s,reeval_oracle_time_s,train_time_s,mem_bank_size,peak_vram_gb
51,10,10,10,90,82,0.4667,289.2333,0.029500,17.6,10.1,251.4,40.7,286.1,520,100.3
52,10,10,10,90,76,0.5583,293.6500,0.026826,22.1,20.0,258.1,30.5,229.1,530,100.3
53,10,10,10,90,76,0.4667,298.9833,0.022565,29.5,2.7,262.0,30.5,267.9,540,100.3
54,10,10,10,90,71,0.4667,304.3167,0.021212,18.0,0.1,237.9,40.8,247.4,550,100.3
55,10,10,10,90,84,0.5000,309.3167,0.017584,54.1,0.1,239.4,30.4,357.8,560,100.3
56,10,10,10,90,79,0.6000,313.3167,0.022837,15.6,0.1,256.1,21.1,357.8,570,100.3
57,10,10,10,90,80,0.5667,317.6500,0.032141,26.6,0.1,260.8,40.9,364.2,580,100.3
58,10,10,10,90,83,0.6000,321.6500,0.019006,14.6,20.0,255.1,30.1,358.3,590,100.3
59,10,10,10,90,80,0.4667,326.9833,0.021864,17.3,0.1,234.2,20.3,279.0,600,100.3
60,10,10,10,90,81,0.3667,333.3167,0.020017,54.1,0.1,247.5,10.3,278.8,610,100.3
61,10,10,10,90,81,0.4500,338.8167,0.030959,15.7,0.1,215.8,14.5,339.3,620,100.3
62,10,10,10,90,83,0.3500,345.3167,0.030055,32.3,10.1,224.2,30.5,272.0,630,100.3
63,10,10,10,90,81,0.3667,351.6500,0.025567,40.6,10.0,243.9,10.6,268.9,640,100.3
64,10,10,10,90,79,0.3333,358.3167,0.021941,17.3,0.1,252.5,10.6,311.7,650,100.3
65,10,10,10,90,83,0.7000,361.3167,0.019696,10.6,0.1,219.1,20.6,274.7,660,100.3
66,10,10,10,90,80,0.3000,368.3167,0.019101,16.6,10.0,201.6,10.4,271.5,670,100.3
67,10,10,10,90,84,0.4500,373.8167,0.017021,19.0,0.1,193.0,30.5,332.0,680,100.3
68,10,10,10,90,81,0.6583,377.2333,0.017066,9.8,0.1,185.4,20.6,562.6,690,100.3
69,10,10,10,90,85,0.3500,383.7333,0.012677,13.1,30.0,190.0,30.5,249.1,700,100.3
70,10,10,10,90,80,0.2167,391.5667,0.013208,20.4,0.1,181.5,10.5,238.4,710,100.3
71,10,10,10,90,78,0.2667,398.9000,0.020480,54.0,0.1,210.6,30.5,258.4,720,100.3
72,10,10,10,90,82,0.3667,405.2333,0.017357,54.1,0.6,209.5,10.6,241.0,730,100.3
73,10,10,10,90,82,0.4917,410.3167,0.019602,20.0,0.1,237.8,32.2,243.2,740,100.3
74,10,10,10,90,84,0.4000,416.3167,0.016122,19.0,0.1,269.3,32.0,437.5,750,100.3
75,10,10,10,90,85,0.3000,423.3167,0.023192,16.4,0.5,273.4,30.3,279.7,760,100.3
75,10,10,10,90,85,0.3000,423.3167,0.028536,18.8,0.5,274.2,30.3,252.0,760,100.3
76,10,10,10,90,82,0.1583,431.7333,0.029618,54.3,10.1,272.5,20.4,564.8,770,100.3
77,10,10,10,90,82,0.3833,437.9000,0.029212,13.9,0.1,310.8,31.8,262.5,780,100.3
78,10,10,10,90,78,0.4833,443.0667,0.032314,17.3,0.1,308.8,31.6,234.5,790,100.3
79,10,10,10,90,80,0.4000,449.0667,0.039987,14.6,0.1,312.7,30.2,283.3,800,100.3
80,10,10,10,90,81,0.5333,453.7333,0.029407,25.8,0.1,312.8,1.6,240.6,810,100.3
81,10,10,10,90,81,0.3917,459.8167,0.032260,18.1,0.1,245.5,10.1,240.8,820,100.3
82,10,10,10,90,80,0.6833,462.9833,0.033643,11.6,0.1,232.3,10.2,233.1,830,100.3
83,10,10,10,90,78,0.7000,465.9833,0.028039,10.8,0.1,196.9,22.4,222.8,840,100.3
84,10,10,10,90,79,0.4250,471.7333,0.028430,28.7,0.1,194.8,1.4,236.5,850,100.3
85,10,10,10,90,82,0.3333,478.4000,0.024369,20.1,20.0,200.3,10.3,226.9,860,100.3
86,10,10,10,90,81,0.4667,483.7333,0.022707,29.0,10.7,163.9,10.3,270.8,870,100.3
87,10,10,10,90,82,0.3000,490.7333,0.034124,54.7,10.1,177.1,20.8,269.8,880,100.3
88,10,10,10,90,81,0.2667,498.0667,0.024748,22.5,0.1,205.9,10.9,255.3,890,100.3
89,10,10,10,90,82,0.3583,504.4833,0.022155,54.4,0.1,166.7,20.4,270.1,900,100.3
90,10,10,10,90,82,0.4500,509.9833,0.027047,19.1,0.1,250.0,11.5,260.7,910,100.3
91,10,10,10,90,83,0.5250,514.7333,0.024386,20.4,10.1,267.5,21.0,236.5,920,100.3
92,10,10,10,90,85,0.5000,519.7333,0.028619,32.0,0.1,285.9,20.2,243.4,930,100.3
93,10,10,10,90,86,0.4167,525.5667,0.032090,54.3,0.1,294.1,30.8,357.8,940,100.3
94,10,10,10,90,83,0.5333,530.2333,0.026881,15.6,0.1,331.5,10.9,236.5,950,100.3
95,10,10,10,90,83,0.3500,536.7333,0.022963,54.4,0.1,286.8,20.2,239.6,960,100.3
96,10,10,10,90,87,0.4667,542.0667,0.033980,15.3,0.1,313.4,31.0,234.9,970,100.3
97,10,10,10,90,83,0.4667,547.4000,0.027221,14.8,0.2,290.7,30.3,452.1,980,100.3
98,10,10,10,90,82,0.4167,553.2333,0.031299,54.4,0.1,276.2,10.7,418.8,990,100.3
99,10,10,10,90,81,0.5500,557.7333,0.027864,14.4,0.1,276.5,10.8,219.0,1000,100.3
100,10,10,10,90,83,0.5000,562.7333,0.021754,16.3,0.1,258.4,10.7,596.5,1010,100.3
101,10,10,10,90,83,0.5583,567.1500,0.018970,19.9,10.1,270.1,30.3,555.8,1020,100.3
102,10,10,10,90,86,0.4667,572.4833,0.020741,11.5,0.1,268.9,10.5,226.2,1030,100.3
103,10,10,10,90,86,0.5500,576.9833,0.015795,17.4,10.1,218.6,10.6,219.3,1040,100.3
104,10,10,10,90,84,0.4750,582.2333,0.015164,11.6,0.1,220.3,10.7,225.0,1050,100.3
105,5,5,5,90,83,0.9333,582.5667,0.015821,7.7,0.1,176.2,10.6,283.8,1055,100.3
