step,problem_id,reward,cumulative_regret,accuracy,n_examples,memory_size,cached
164,3784,0.5000,97.0000,0.5394,3,70,1
165,arc188_d,0.0000,98.0000,0.5361,3,70,0
166,3654,0.0000,99.0000,0.5329,3,70,0
167,3163,1.0000,99.0000,0.5357,3,71,1
168,abc347_b,1.0000,99.0000,0.5385,3,72,1
169,abc330_b,1.0000,99.0000,0.5412,3,73,1
170,3696,1.0000,99.0000,0.5439,3,74,1
171,3487,0.2500,99.7500,0.5465,3,74,0
172,3000,0.3333,100.4167,0.5491,3,74,0
173,abc385_d,0.0000,101.4167,0.5460,3,74,0
174,abc354_c,0.3333,102.0833,0.5486,3,74,0
175,3723,0.0000,103.0833,0.5455,3,74,0
176,3591,0.0000,104.0833,0.5424,3,74,0
177,3226,1.0000,104.0833,0.5449,3,75,1
178,abc343_b,1.0000,104.0833,0.5475,3,76,1
179,abc322_e,0.0000,105.0833,0.5444,3,76,0
180,3603,0.0000,106.0833,0.5414,3,76,0
181,abc362_d,0.6667,106.4167,0.5440,3,77,1
182,arc195_c,0.0000,107.4167,0.5410,3,77,0
183,2870,0.0000,108.4167,0.5380,3,77,0
184,abc386_d,0.0000,109.4167,0.5351,3,77,0
185,abc355_a,0.6667,109.7500,0.5376,3,78,1
186,1883_C,0.0000,110.7500,0.5348,3,78,0
187,3634,1.0000,110.7500,0.5372,3,79,1
188,abc301_f,0.0000,111.7500,0.5344,3,79,0
189,abc369_c,0.0000,112.7500,0.5316,3,79,0
190,3466,0.0000,113.7500,0.5288,3,79,0
191,3174,1.0000,113.7500,0.5312,3,80,1
192,3292,0.3333,114.4167,0.5337,3,80,0
193,abc310_d,0.2500,115.1667,0.5361,3,80,0
194,3423,0.5000,115.6667,0.5385,3,81,1
195,abc355_c,1.0000,115.6667,0.5408,3,82,1
196,3081,1.0000,115.6667,0.5431,3,83,1
197,3317,0.0000,116.6667,0.5404,3,83,0
198,3770,0.0000,117.6667,0.5377,3,83,0
199,3511,0.5000,118.1667,0.5400,3,84,1
200,abc395_c,0.3333,118.8333,0.5423,3,84,0
201,abc343_c,1.0000,118.8333,0.5446,3,85,1
202,abc351_f,0.0000,119.8333,0.5419,3,85,0
203,abc369_b,0.0000,120.8333,0.5392,3,85,0
204,3743,1.0000,120.8333,0.5415,3,86,1
205,abc324_c,0.0000,121.8333,0.5388,3,86,0
206,abc333_d,0.0000,122.8333,0.5362,3,86,0
207,3362,1.0000,122.8333,0.5385,3,87,1
208,3639,0.5000,123.3333,0.5407,3,88,1
209,2884,1.0000,123.3333,0.5429,3,89,1
210,abc352_c,0.0000,124.3333,0.5403,3,89,0
211,abc350_e,0.0000,125.3333,0.5377,3,89,0
212,arc191_c,0.0000,126.3333,0.5352,3,89,0
213,abc318_c,0.0000,127.3333,0.5327,3,89,0
214,3720,0.0000,128.3333,0.5302,3,89,0
215,abc320_c,0.3333,129.0000,0.5324,3,89,0
216,3394,0.0000,130.0000,0.5300,3,89,0
217,arc196_d,0.0000,131.0000,0.5275,3,89,0
218,3361,0.5000,131.5000,0.5297,3,90,1
219,3034,0.0000,132.5000,0.5273,3,90,0
220,abc344_d,0.0000,133.5000,0.5249,3,90,0
221,3621,0.0000,134.5000,0.5225,3,90,0
222,3372,0.0000,135.5000,0.5202,3,90,0
223,abc338_f,0.3333,136.1667,0.5223,3,90,0
224,arc189_c,0.2500,136.9167,0.5244,3,90,0
225,abc308_e,0.0000,137.9167,0.5221,3,90,0
226,3313,0.0000,138.9167,0.5198,3,90,0
227,abc400_g,0.0000,139.9167,0.5175,3,90,0
228,abc358_c,1.0000,139.9167,0.5197,3,91,1
229,2792,1.0000,139.9167,0.5217,3,92,1
230,3492,0.3333,140.5833,0.5238,3,92,0
231,abc374_c,0.0000,141.5833,0.5216,3,92,0
232,abc344_e,0.0000,142.5833,0.5193,3,92,0
233,abc380_e,0.0000,143.5833,0.5171,3,92,0
234,abc348_b,1.0000,143.5833,0.5191,3,93,1
235,3525,0.0000,144.5833,0.5169,3,93,0
236,abc365_a,1.0000,144.5833,0.5190,3,94,1
237,abc304_e,0.0000,145.5833,0.5168,3,94,0
238,3552,0.6667,145.9167,0.5188,3,95,1
239,3171,1.0000,145.9167,0.5208,3,96,1
240,arc185_b,0.0000,146.9167,0.5187,3,96,0
241,abc302_c,1.0000,146.9167,0.5207,3,97,1
242,abc368_c,0.6667,147.2500,0.5226,3,98,1
243,3555,0.0000,148.2500,0.5205,3,98,0
244,abc303_e,0.0000,149.2500,0.5184,3,98,0
245,3236,0.0000,150.2500,0.5163,3,98,0
246,3560,0.0000,151.2500,0.5142,3,98,0
247,abc372_e,0.0000,152.2500,0.5121,3,98,0
248,abc311_d,0.0000,153.2500,0.5100,3,98,0
249,abc373_a,1.0000,153.2500,0.5120,3,99,1
250,3685,1.0000,153.2500,0.5139,3,100,1
251,abc359_e,0.0000,154.2500,0.5119,3,100,0
252,abc321_d,1.0000,154.2500,0.5138,3,101,1
253,abc341_b,1.0000,154.2500,0.5157,3,102,1
254,3464,0.0000,155.2500,0.5137,3,102,0
255,abc398_b,1.0000,155.2500,0.5156,3,103,1
256,3320,1.0000,155.2500,0.5175,3,104,1
257,abc306_e,0.0000,156.2500,0.5155,3,104,0
258,abc351_a,1.0000,156.2500,0.5174,3,105,1
259,3753,1.0000,156.2500,0.5192,3,106,1
260,3446,1.0000,156.2500,0.5211,3,107,1
261,1899_B,0.0000,157.2500,0.5191,3,107,0
262,3279,1.0000,157.2500,0.5209,3,108,1
263,abc314_b,0.5000,157.7500,0.5227,3,109,1
264,abc370_f,0.0000,158.7500,0.5208,3,109,0
265,3788,0.0000,159.7500,0.5188,3,109,0
266,abc359_b,1.0000,159.7500,0.5206,3,110,1
267,3297,0.0000,160.7500,0.5187,3,110,0
268,3676,0.0000,161.7500,0.5167,3,110,0
269,3763,0.0000,162.7500,0.5148,3,110,0
270,abc366_a,1.0000,162.7500,0.5166,3,111,1
271,abc366_e,0.0000,163.7500,0.5147,3,111,0
272,abc392_c,0.0000,164.7500,0.5128,3,111,0
273,2833,0.0000,165.7500,0.5109,3,111,0
274,3351,0.0000,166.7500,0.5091,3,111,0
275,3649,0.0000,167.7500,0.5072,3,111,0
276,abc301_c,0.5000,168.2500,0.5090,3,112,1
277,abc344_b,0.0000,169.2500,0.5072,3,112,0
278,abc399_c,0.0000,170.2500,0.5054,3,112,0
279,abc380_f,0.6667,170.5833,0.5071,3,113,1
280,abc367_c,0.0000,171.5833,0.5053,3,113,0
281,3629,1.0000,171.5833,0.5071,3,114,1
282,abc322_a,1.0000,171.5833,0.5088,3,115,1
283,2979,0.0000,172.5833,0.5070,3,115,0
284,3331,0.0000,173.5833,0.5053,3,115,0
285,abc397_a,1.0000,173.5833,0.5070,3,116,1
286,arc193_a,1.0000,173.5833,0.5087,3,117,1
287,abc361_a,0.6667,173.9167,0.5104,3,118,1
288,abc328_e,0.6667,174.2500,0.5121,3,119,1
289,3518,0.0000,175.2500,0.5103,3,119,0
290,3306,0.0000,176.2500,0.5086,3,119,0
291,2882,1.0000,176.2500,0.5103,3,120,1
292,abc374_g,0.0000,177.2500,0.5085,3,120,0
293,3617,0.3333,177.9167,0.5102,3,120,0
294,abc358_d,0.3333,178.5833,0.5119,3,120,0
295,abc371_a,1.0000,178.5833,0.5135,3,121,1
296,abc343_a,0.0000,179.5833,0.5118,3,121,0
297,abc376_d,0.0000,180.5833,0.5101,3,121,0
298,2786,1.0000,180.5833,0.5117,3,122,1
299,2828,0.6667,180.9167,0.5133,3,123,1
300,3456,0.5000,181.4167,0.5150,3,124,1
301,3299,0.0000,182.4167,0.5132,3,124,0
302,2810,0.0000,183.4167,0.5116,3,124,0
303,3527,0.0000,184.4167,0.5099,3,124,0
304,3476,0.0000,185.4167,0.5082,3,124,0
305,3495,0.0000,186.4167,0.5065,3,124,0
306,abc339_c,0.3333,187.0833,0.5081,3,124,0
307,3194,0.0000,188.0833,0.5065,3,124,0
308,abc363_f,0.0000,189.0833,0.5049,3,124,0
309,abc394_f,0.3333,189.7500,0.5065,3,124,0
310,abc366_c,1.0000,189.7500,0.5080,3,125,1
311,abc351_d,0.0000,190.7500,0.5064,3,125,0
312,3416,1.0000,190.7500,0.5080,3,126,1
313,abc308_f,0.0000,191.7500,0.5064,3,126,0
314,3638,0.3333,192.4167,0.5079,3,126,0
315,abc400_a,0.3333,193.0833,0.5095,3,126,0
316,abc361_d,0.0000,194.0833,0.5079,3,126,0
317,3455,0.5000,194.5833,0.5094,3,127,1
318,3475,0.0000,195.5833,0.5078,3,127,0
319,abc391_e,0.0000,196.5833,0.5062,3,127,0
320,abc309_d,0.5000,197.0833,0.5078,3,128,1
321,3612,0.0000,198.0833,0.5062,3,128,0
322,abc383_b,0.0000,199.0833,0.5046,3,128,0
323,3515,0.0000,200.0833,0.5031,3,128,0
324,abc329_c,0.3333,200.7500,0.5046,3,128,0
325,3655,0.3333,201.4167,0.5061,3,128,0
326,3600,0.0000,202.4167,0.5046,3,128,0
327,abc358_a,1.0000,202.4167,0.5061,3,129,1
328,3793,0.0000,203.4167,0.5046,3,129,0
329,3422,0.0000,204.4167,0.5030,3,129,0
330,3817,1.0000,204.4167,0.5045,3,130,1
331,arc184_e,0.0000,205.4167,0.5030,3,130,0
332,abc310_b,0.0000,206.4167,0.5015,3,130,0
333,2977,0.0000,207.4167,0.5000,3,130,0
334,3412,1.0000,207.4167,0.5015,3,131,1
335,3267,0.6667,207.7500,0.5030,3,132,1
336,3562,0.0000,208.7500,0.5015,3,132,0
337,2756,0.0000,209.7500,0.5000,3,132,0
338,abc389_a,1.0000,209.7500,0.5015,3,133,1
339,abc307_b,1.0000,209.7500,0.5029,3,134,1
340,abc340_c,0.3333,210.4167,0.5044,3,134,0
341,abc332_b,1.0000,210.4167,0.5058,3,135,1
342,abc312_a,1.0000,210.4167,0.5073,3,136,1
343,abc350_b,0.0000,211.4167,0.5058,3,136,0
344,abc325_d,0.3333,212.0833,0.5072,3,136,0
345,abc320_a,1.0000,212.0833,0.5087,3,137,1
346,abc319_b,1.0000,212.0833,0.5101,3,138,1
347,arc193_b,0.0000,213.0833,0.5086,3,138,0
348,abc365_b,1.0000,213.0833,0.5100,3,139,1
349,arc182_c,0.0000,214.0833,0.5086,3,139,0
350,3308,1.0000,214.0833,0.5100,3,140,1
351,arc192_a,0.6667,214.4167,0.5114,3,141,1
352,arc186_e,0.0000,215.4167,0.5099,3,141,0
353,3403,0.0000,216.4167,0.5085,3,141,0
354,3702,0.0000,217.4167,0.5070,3,141,0
355,2728,1.0000,217.4167,0.5084,3,142,1
356,abc349_e,0.0000,218.4167,0.5070,3,142,0
357,abc324_a,1.0000,218.4167,0.5084,3,143,1
358,abc302_d,0.7500,218.6667,0.5097,3,144,1
359,3420,1.0000,218.6667,0.5111,3,145,1
360,3482,0.0000,219.6667,0.5097,3,145,0
361,2819,1.0000,219.6667,0.5110,3,146,1
362,abc353_b,0.0000,220.6667,0.5096,3,146,0
363,abc397_g,0.6667,221.0000,0.5110,3,147,1
364,abc319_d,0.3333,221.6667,0.5123,3,147,0
365,3607,0.6667,222.0000,0.5137,3,148,1
366,abc367_g,1.0000,222.0000,0.5150,3,149,1
367,3701,0.0000,223.0000,0.5136,3,149,0
368,3627,0.3333,223.6667,0.5149,3,149,0
369,3345,0.3333,224.3333,0.5162,3,149,0
370,abc336_b,1.0000,224.3333,0.5175,3,150,1
371,2920,0.0000,225.3333,0.5161,3,150,0
372,abc334_e,0.0000,226.3333,0.5147,3,150,0
373,abc360_e,0.3333,227.0000,0.5160,3,150,0
374,abc360_b,1.0000,227.0000,0.5173,3,151,1
375,abc388_b,0.0000,228.0000,0.5160,3,151,0
376,abc370_b,0.0000,229.0000,0.5146,3,151,0
377,2839,0.3333,229.6667,0.5159,3,151,0
378,abc399_b,1.0000,229.6667,0.5172,3,152,1
379,3751,0.5000,230.1667,0.5184,3,153,1
380,3363,0.0000,231.1667,0.5171,3,153,0
381,3211,0.3333,231.8333,0.5183,3,153,0
382,3360,0.6667,232.1667,0.5196,3,154,1
383,3395,1.0000,232.1667,0.5208,3,155,1
384,abc337_b,0.2500,232.9167,0.5221,3,155,0
385,abc361_f,0.0000,233.9167,0.5207,3,155,0
386,abc386_a,0.8000,234.1167,0.5220,3,156,1
387,3212,1.0000,234.1167,0.5232,3,157,1
388,3534,0.3333,234.7833,0.5244,3,157,0
389,abc327_e,0.3333,235.4500,0.5256,3,157,0
390,abc382_b,1.0000,235.4500,0.5269,3,158,1
391,abc315_c,1.0000,235.4500,0.5281,3,159,1
392,abc342_c,0.6667,235.7833,0.5293,3,160,1
393,abc392_a,1.0000,235.7833,0.5305,3,161,1
394,3832,0.0000,236.7833,0.5291,3,161,0
395,3190,0.0000,237.7833,0.5278,3,161,0
396,abc366_f,0.5000,238.2833,0.5290,3,162,1
397,3199,1.0000,238.2833,0.5302,3,163,1
398,arc185_c,0.3333,238.9500,0.5313,3,163,0
399,abc377_c,0.0000,239.9500,0.5300,3,163,0
400,abc340_b,1.0000,239.9500,0.5312,3,164,1
401,arc196_c,0.3333,240.6167,0.5323,3,164,0
402,abc369_e,0.0000,241.6167,0.5310,3,164,0
403,3583,0.3333,242.2833,0.5322,3,164,0
404,abc371_f,0.0000,243.2833,0.5309,3,164,0
405,abc314_a,0.3333,243.9500,0.5320,3,164,0
406,abc337_e,0.0000,244.9500,0.5307,3,164,0
407,abc326_c,1.0000,244.9500,0.5319,3,165,1
408,abc387_b,0.3333,245.6167,0.5330,3,165,0
409,abc341_c,1.0000,245.6167,0.5341,3,166,1
410,3244,1.0000,245.6167,0.5353,3,167,1
411,abc324_f,0.0000,246.6167,0.5340,3,167,0
412,abc321_c,0.0000,247.6167,0.5327,3,167,0
413,3566,0.0000,248.6167,0.5314,3,167,0
414,3543,0.3333,249.2833,0.5325,3,167,0
415,abc349_b,0.3333,249.9500,0.5337,3,167,0
416,abc375_e,0.5000,250.4500,0.5348,3,168,1
417,2887,1.0000,250.4500,0.5359,3,169,1
418,abc370_a,1.0000,250.4500,0.5370,3,170,1
419,3575,0.0000,251.4500,0.5357,3,170,0
420,3680,0.0000,252.4500,0.5344,3,170,0
421,abc378_b,0.0000,253.4500,0.5332,3,170,0
422,3644,1.0000,253.4500,0.5343,3,171,1
423,abc309_e,0.0000,254.4500,0.5330,3,171,0
424,abc315_b,0.0000,255.4500,0.5318,3,171,0
425,abc353_c,1.0000,255.4500,0.5329,3,172,1
426,abc346_c,0.6667,255.7833,0.5340,3,173,1
427,3018,1.0000,255.7833,0.5350,3,174,1
428,abc390_c,0.3333,256.4500,0.5361,3,174,0
429,abc395_e,0.0000,257.4500,0.5349,3,174,0
430,abc343_d,0.0000,258.4500,0.5336,3,174,0
431,3739,0.0000,259.4500,0.5324,3,174,0
432,abc360_c,0.0000,260.4500,0.5312,3,174,0
433,3657,0.0000,261.4500,0.5300,3,174,0
434,abc374_d,0.0000,262.4500,0.5287,3,174,0
435,3722,0.0000,263.4500,0.5275,3,174,0
436,3568,1.0000,263.4500,0.5286,3,175,1
437,3799,0.0000,264.4500,0.5274,3,175,0
438,3184,0.3333,265.1167,0.5285,3,175,0
439,abc365_e,0.0000,266.1167,0.5273,3,175,0
440,arc185_e,0.0000,267.1167,0.5261,3,175,0
441,abc395_b,1.0000,267.1167,0.5271,3,176,1
442,abc335_a,1.0000,267.1167,0.5282,3,177,1
443,3759,1.0000,267.1167,0.5293,3,178,1
444,abc393_f,0.0000,268.1167,0.5281,3,178,0
445,abc323_a,1.0000,268.1167,0.5291,3,179,1
446,abc396_g,0.0000,269.1167,0.5280,3,179,0
447,abc305_a,1.0000,269.1167,0.5290,3,180,1
448,abc364_c,0.6667,269.4500,0.5301,3,181,1
449,2832,0.0000,270.4500,0.5289,3,181,0
450,abc342_d,1.0000,270.4500,0.5299,3,182,1
451,abc351_c,0.0000,271.4500,0.5288,3,182,0
452,3535,0.0000,272.4500,0.5276,3,182,0
453,3681,0.3333,273.1167,0.5286,3,182,0
454,3188,0.0000,274.1167,0.5275,3,182,0
455,2800,1.0000,274.1167,0.5285,3,183,1
456,2754,1.0000,274.1167,0.5295,3,184,1
457,abc371_e,0.0000,275.1167,0.5284,3,184,0
458,3047,0.0000,276.1167,0.5272,3,184,0
459,3550,0.0000,277.1167,0.5261,3,184,0
460,3154,1.0000,277.1167,0.5271,3,185,1
461,abc395_a,1.0000,277.1167,0.5281,3,186,1
462,abc332_c,0.3333,277.7833,0.5292,3,186,0
463,3172,1.0000,277.7833,0.5302,3,187,1
464,abc341_a,1.0000,277.7833,0.5312,3,188,1
465,abc348_d,1.0000,277.7833,0.5322,3,189,1
466,2850,1.0000,277.7833,0.5332,3,190,1
467,3265,0.3333,278.4500,0.5342,3,190,0
468,abc327_b,1.0000,278.4500,0.5352,3,191,1
469,abc328_d,1.0000,278.4500,0.5362,3,192,1
470,3637,0.0000,279.4500,0.5350,3,192,0
471,abc314_f,0.0000,280.4500,0.5339,3,192,0
472,3223,0.0000,281.4500,0.5328,3,192,0
473,2845,1.0000,281.4500,0.5338,3,193,1
474,abc331_a,1.0000,281.4500,0.5347,3,194,1
475,2998,1.0000,281.4500,0.5357,3,195,1
476,abc339_b,0.3333,282.1167,0.5367,3,195,0
477,3687,0.5000,282.6167,0.5377,3,196,1
478,3353,1.0000,282.6167,0.5386,3,197,1
479,abc345_b,1.0000,282.6167,0.5396,3,198,1
480,3490,0.3333,283.2833,0.5405,3,198,0
481,abc314_d,1.0000,283.2833,0.5415,3,199,1
482,abc368_a,1.0000,283.2833,0.5424,3,200,1
483,abc332_d,0.5000,283.7833,0.5434,3,201,1
484,3316,0.0000,284.7833,0.5423,3,201,0
485,abc307_e,0.3333,285.4500,0.5432,3,201,0
486,arc195_a,1.0000,285.4500,0.5441,3,202,1
487,3246,0.0000,286.4500,0.5430,3,202,0
488,abc330_d,0.3333,287.1167,0.5440,3,202,0
489,abc325_f,0.0000,288.1167,0.5429,3,202,0
490,arc196_a,0.3333,288.7833,0.5438,3,202,0
491,abc344_c,0.0000,289.7833,0.5427,3,202,0
492,abc306_d,0.0000,290.7833,0.5416,3,202,0
493,3094,1.0000,290.7833,0.5425,3,203,1
494,abc394_g,0.0000,291.7833,0.5414,3,203,0
495,3234,0.0000,292.7833,0.5403,3,203,0
496,3647,0.0000,293.7833,0.5392,3,203,0
497,abc350_a,0.6667,294.1167,0.5402,3,204,1
498,abc320_b,1.0000,294.1167,0.5411,3,205,1
499,abc304_a,1.0000,294.1167,0.5420,3,206,1
500,3233,0.3333,294.7833,0.5429,3,206,0
501,abc370_c,0.0000,295.7833,0.5418,3,206,0
502,3454,0.0000,296.7833,0.5408,3,206,0
