step,problem_id,pred,label,correct,cumulative_regret
46,46,Salma Hayek,Salma Hayek Pinault,0,18.0000
47,47,AMC Theatres,AMC Theatres,1,18.0000
48,48,No,no,1,18.0000
49,49,Dr. Alberto Taquini,Dr. Alberto Taquini,1,18.0000
50,50,Yes,yes,1,18.0000
51,51,Bishop's Stortford,Bishop's Stortford,1,18.0000
52,52,Jeffrey Meldrum,"Don Jeffrey ""Jeff"" Meldrum (born May 24, 1958) is a Professor of Anatomy and Anthropology",0,19.0000
53,53,VNO,"IATA: VNO, ICAO: EYVI",0,20.0000
54,54,Usher,Usher,1,20.0000
55,55,unknown,three million copies worldwide,0,21.0000
56,56,1838,1838,1,21.0000
57,57,author,author,1,21.0000
58,58,William Blake Herron,"musician, editor and composer.",0,22.0000
59,59,Mako,Mako,1,22.0000
60,60,1736,1736,1,22.0000
61,61,Sullivan County,Newport,0,23.0000
62,62,Oxford University,Oxford,0,24.0000
63,63,Training Day,Suicide Squad,0,25.0000
64,64,"Doniphan County, Kansas",the U.S. state of Kansas,0,26.0000
65,65,John Morgan,John Morgan,1,26.0000
66,66,Romeo,Tybalt,0,27.0000
67,67,4.4 mi,2844 km,0,28.0000
68,68,no,no,1,28.0000
69,69,"Graffiti, breakdancing, rapping, hip hop producing, and DJing",Graffiti,0,29.0000
70,70,Quantrill's Raiders,pro-Confederate,0,30.0000
71,71,gay literature,"American educator, writer,",0,31.0000
72,72,Helen Hunt,Helen Elizabeth Hunt,0,32.0000
73,73,Old Dogs,Old Dogs,1,32.0000
74,74,Bergen,Hordaland,0,33.0000
75,75,Big 12 Conference,the Big 12 Conference,1,33.0000
76,76,Big 12 Conference,Big 12,0,34.0000
77,77,Rockstar Games,Rockstar San Diego,0,35.0000
78,78,Syd Barrett,"Gregory John ""Greg"" Puciato",0,36.0000
79,79,New York City,yes,0,37.0000
80,80,No,no,1,37.0000
81,81,Casino,Richmond,0,38.0000
82,82,"26,000","about 26,000.",0,39.0000
83,83,Ian Watkins,Lostprophets disbanded in 2013 after Watkins was charged with sexual offences in late 2012.,0,40.0000
84,84,Augustus,Caligula,0,41.0000
85,85,Thomas Friedman,Thomas Loren Friedman,0,42.0000
86,86,The Drop-In,Comedy Film Nerds,0,43.0000
87,87,John D Rockefeller,John D Rockefeller's Standard Oil Company,0,44.0000
88,88,rapper,"professional wrestler, actor, and hip hop musician",0,45.0000
89,89,Orange County,Orange County,1,45.0000
90,90,"June 11, 1986","June 11, 1986",1,45.0000
91,91,Chicago Bears,the Bears,0,46.0000
92,92,"February 20, 1978","February 20, 1978",1,46.0000
93,93,Queen In-hyun's Man,Queen In-hyun's Man,1,46.0000
94,94,2009,2009,1,46.0000
95,95,University of Maryland University College,"Prince George's County, Maryland",0,47.0000
96,96,Red Dead Redemption,Red Dead Redemption,1,47.0000
97,97,Love Streams,Love Streams,1,47.0000
98,98,Peer,Peer,1,47.0000
99,99,Constantine,Constantine,1,47.0000
100,100,Hacking Democracy,The Memory of Justice,0,48.0000
101,101,St Andrews,"St Andrews, Fife, Scotland",0,49.0000
102,102,Nicktoon Blast,Ghostbusters Spooktacular,0,50.0000
103,103,BC Dzūkija,BC Dzūkija,1,50.0000
104,104,Chicago,Germany,0,51.0000
105,105,Jennifer Aniston,Jennifer Aniston,1,51.0000
106,106,New York City,"New York City, New York",0,52.0000
107,107,Yes,yes,1,52.0000
108,108,Renaissance Technologies,Renaissance Technologies,1,52.0000
109,109,St Kilda,Melbourne,0,53.0000
110,110,1953,1953,1,53.0000
111,111,girls aged 11 to 18,girls aged 11 to 18,1,53.0000
112,112,Henry J. Kaiser,Henry J. Kaiser,1,53.0000
113,113,Denmark,Prince of Denmark,0,54.0000
114,114,Saul Metzstein,"Douglas Eric ""Doug"" Liman",0,55.0000
115,115,Yes,yes,1,55.0000
116,116,Yes,yes,1,55.0000
117,117,Yes,no,0,56.0000
118,118,Sacred Planet,Sacred Planet,1,56.0000
119,119,French,no,0,57.0000
120,120,"Brooklyn, New York","Brooklyn, New York",1,57.0000
121,121,The Chamber,The Chamber,1,57.0000
122,122,NA-16,North American Aviation T-6 Texan,0,58.0000
123,123,Arthur Conan Doyle,Arthur Ignatius Conan Doyle,0,59.0000
124,124,No,no,1,59.0000
125,125,shortest player ever to play in the National Basketball Association,shortest player ever to play in the National Basketball Association,1,59.0000
126,126,Italian English,English-language,0,60.0000
127,127,87,87,1,60.0000
128,128,Battle of Belleau Wood,The Battle of Belleau Wood,1,60.0000
129,129,St James's Palace,Mark Masons' Hall,0,61.0000
130,130,Mondelez International,"Mondelez International, Inc.",0,62.0000
131,131,filmmaker,director,0,63.0000
132,132,Coca-Cola FEMSA,Fomento Económico Mexicano,0,64.0000
133,133,American,American,1,64.0000
134,134,Brodhead Creek,Delaware River,0,65.0000
135,135,Stan,Kramer's caddy Stan,0,66.0000
136,136,Yes,no,0,67.0000
137,137,"37,776","37,776",1,67.0000
138,138,Nusretiye Mosque,Nusretiye Mosque,1,67.0000
139,139,Football League Championship,Championship,0,68.0000
140,140,October,February,0,69.0000
141,141,East Lancashire Railway,East Lancashire Railway,1,69.0000
142,142,mountain ranges,mountain ranges,1,69.0000
143,143,2002,"(foaled February 1, 1999)",0,70.0000
144,144,The Secret World,massively multiplayer online role-playing video game,0,71.0000
145,145,50 best cities to live in.,50 best cities to live in,1,71.0000
146,146,Saoirse Ronan,Saoirse Ronan,1,71.0000
147,147,jam band sound,extensive use of segues,0,72.0000
148,148,Hong Kong,Hong Kong,1,72.0000
149,149,Yes,yes,1,72.0000
150,150,Lewis lamp,Argand lamp,0,73.0000
151,151,15,15,1,73.0000
152,152,"March 14, 2000",2000,0,74.0000
153,153,1952,1952,1,74.0000
154,154,20 October 1980,20 October 1980,1,74.0000
155,155,"Indianapolis, Indiana, USA","Indianapolis, Indiana",0,75.0000
156,156,hiphop producer,video game,0,76.0000
157,157,Yes,yes,1,76.0000
158,158,Yes,yes,1,76.0000
159,159,late 12th Century,the late 12th Century,1,76.0000
160,160,King David I,King George IV,0,77.0000
161,161,Jim Cummings,Sonic,0,78.0000
162,162,lemon juice,no,0,79.0000
163,163,Olathe East High School,"located in Olathe, Kansas",0,80.0000
164,164,Tron,Tron,1,80.0000
165,165,Los Angeles,Los Angeles,1,80.0000
166,166,56,32 people,0,81.0000
167,167,three centuries,three centuries,1,81.0000
168,168,executive search,"Executive Search, Board Consulting",0,82.0000
169,169,No,no,1,82.0000
170,170,2000,2000,1,82.0000
171,171,1999,1999,1,82.0000
172,172,WB Television Network,WB Television Network,1,82.0000
173,173,LaLee's Kin: The Legacy of Cotton,LaLee's Kin: The Legacy of Cotton,1,82.0000
174,174,Wildwood,Wildwood,1,82.0000
175,175,Tennis,tennis,1,82.0000
176,176,UFC 50: The War of '04,The War of '04,0,83.0000
177,177,The Agronomist,The Agronomist,1,83.0000
178,178,575 acres (2.08 km²),575 acres (2.08 km²),1,83.0000
179,179,No,no,1,83.0000
180,180,Knowsley United Women,Knowsley United Women,1,83.0000
181,181,Gary Johnson,Gary Earl Johnson,0,84.0000
182,182,Historically important for the defence of the Cathedral Close,defence of the Cathedral,0,85.0000
183,183,"Mark Vella Tomlin was an airline pilot who flew the CASA-212-200 Aviocar for Medavia between 1993 and 2008, when he retired due to health reasons. His nationality is Maltese, and Malta is described as a Southern European",Malta,0,86.0000
184,184,Bay of Fundy,Bay of Fundy,1,86.0000
185,185,Amanda Wyss,"Wesley ""Wes"" Studi",0,87.0000
186,186,German,German,1,87.0000
187,187,Venice,Venice,1,87.0000
188,188,Wolf Alice,Badly Drawn Boy,0,88.0000
189,189,Johnson Press,Johnson Press,1,88.0000
190,190,Carabao Cup,Carabao Cup,1,88.0000
191,191,first and only U.S. born world grand prix champion,American-born,0,89.0000
192,192,Pietro Badoglio,Marshal Pietro Badoglio,0,90.0000
193,193,Donna Ladd,Dave Thomas,0,91.0000
194,194,The Wachowskis,The Wachowskis,1,91.0000
195,195,"Indianapolis, Indiana",Indianapolis,0,92.0000
196,196,1989,1989,1,92.0000
197,197,Aubrey Posen,Aubrey Posen,1,92.0000
198,198,"Preston, Lancashire, UK",Preston,0,93.0000
199,199,The Bad and the Beautiful,Julius Caesar,0,94.0000
200,200,first,first freshman to finish as the runner-up,0,95.0000
201,201,Eucritta melanolimnetes,Eucritta melanolimnetes,1,95.0000
202,202,Baltimore,Baltimore,1,95.0000
203,203,Arrowhead Stadium,Arrowhead Stadium,1,95.0000
204,204,11,third,0,96.0000
205,205,Levi Weeks,Levi Weeks,1,96.0000
206,206,Honda Vigor,Honda Ballade,0,97.0000
207,207,Madrid,the autonomous community of Madrid,0,98.0000
208,208,Mandalay Entertainment,Mandalay Entertainment,1,98.0000
209,209,Season Three,third,0,99.0000
210,210,Two Is Better Than One,Love Drunk,0,100.0000
211,211,Leslie Knope,Leslie Knope,1,100.0000
212,212,Catholic Church in Ireland,The Catholic Church in Ireland,1,100.0000
213,213,1961,1961,1,100.0000
214,214,Punjabi/Pashtun descent,Punjabi/Pashtun,0,101.0000
215,215,Still Kicking: Six Artistic Women of Project Arts & Longevity,Still Kicking: Six Artistic Women of Project Arts & Longevity,1,101.0000
216,216,Fortnightly,fortnightly,1,101.0000
217,217,Belladonna,Belladonna,1,101.0000
218,218,"Before marrying, Louisa Catherine Johnson Adams worked as a teacher.",fashion model,0,102.0000
219,219,1969,1966,0,103.0000
220,220,The Futureheads,The Futureheads,1,103.0000
221,221,Lord's Resistance Movement,United Holy Salvation Army and Uganda Christian Army/Movement,0,104.0000
222,222,Dirty Pretty Things,Dirty Pretty Things,1,104.0000
223,223,Italian sovereignty,sovereignty,0,105.0000
224,224,Pirate's Cove,Pirate's Cove,1,105.0000
225,225,Bayern Munich,Bayern Munich,1,105.0000
226,226,Agent Carter,Agent Carter,1,105.0000
227,227,Dayton Memorial Hall,First Street,0,106.0000
228,228,"Santa Monica, California","Santa Monica, California",1,106.0000
229,229,"John Whiting, Sir Peter Hall",Peter Hall,0,107.0000
230,230,Iceland,Scotland,0,108.0000
231,231,1945 to 1969,from 1986 to 2013,0,109.0000
232,232,Australia,Australian actor and film producer,0,110.0000
233,233,Final Fantasy XII,Final Fantasy XII,1,110.0000
234,234,"Katharine Hepburn, Joan Bennett, Frances Dee","Katharine Hepburn, Joan Bennett, Frances Dee",1,110.0000
235,235,Beijing,Beijing,1,110.0000
236,236,No,no,1,110.0000
237,237,Arthur Russell,Arthur Russell,1,110.0000
238,238,Wes Archer,Wes Archer,1,110.0000
239,239,Ector County,Ector County,1,110.0000
240,240,Herbert Ross,Herbert Ross,1,110.0000
241,241,United Kingdom,the Netherlands,0,111.0000
242,242,Starlite,Starlite,1,111.0000
243,243,Francisco Rafael Arellano Félix,Francisco Rafael Arellano Félix,1,111.0000
244,244,"Recent work on computer analysis of textual style (word use, word and phrase patterns)",linguistic analysis,0,112.0000
245,245,Utne Reader,The New York Enterprise Report,0,113.0000
246,246,World Summit of Nobel Peace Laureates,Organizations could come together to address global issues,0,114.0000
247,247,Teach the Controversy,"""Teach the Controversy"" campaign",0,115.0000
248,248,City of Newcastle,City of Newcastle,1,115.0000
249,249,Waimea Bay,Waimea Bay,1,115.0000
250,250,"Boulder, Colorado",Boulder High School,0,116.0000
251,251,EY,Ernst & Young,0,117.0000
252,252,Eileen Atkins,Dame Eileen June Atkins,0,118.0000
253,253,TX-2 Tape System,8-track,0,119.0000
254,254,Film director,screenwriter,0,120.0000
255,255,Play-by-post role-playing game,play-by-post role-playing game,1,120.0000
256,256,16 girls and 1 boy,nine girls and 10 boys,0,121.0000
257,257,John Waters,John Waters,1,121.0000
258,258,Southaven,"Southaven, Mississippi",0,122.0000
259,259,Mark Neveldine and Brian Taylor,Mark Neveldine and Brian Taylor,1,122.0000
260,260,Esteban Ocon,Esteban Ocon,1,122.0000
261,261,capital of French Indochina,Viet Minh's base,0,123.0000
262,262,Hibbing,Saint Louis County,0,124.0000
263,263,"Orono, Maine",Orono,0,125.0000
264,264,Syracuse University,Syracuse University.,1,125.0000
265,265,Dusty Dvoracek,Dusty Dvoracek,1,125.0000
266,266,"To determine who was older between Andrew Preston and James Taylor, let's follow these steps:

1. Identify the birth years of both individuals:
   - Andrew Preston: Born in 1983 (as mentioned in the paragraph about Isaac M. Taylor)
   - James Taylor: Born in 1948",James Taylor,0,126.0000
267,267,Rome,Rome,1,126.0000
268,268,Adam Levine,Matt Flynn,0,127.0000
269,269,John Schneider,Tim Allen,0,128.0000
270,270,Lisa Raymond,Liezel Huber,0,129.0000
271,271,Talk That Talk,"""Talk That Talk""",1,129.0000
272,272,Mezzanine,Mezzanine,1,129.0000
273,273,Supervisor of the royal works,supervisor of the royal works,1,129.0000
274,274,Saturday Night Live,"""The Wonder Years""",0,130.0000
275,275,Michael Swango,Michael Swango,1,130.0000
276,276,Bolton,Bolton,1,130.0000
277,277,Tumwater,"Tumwater, Washington",0,131.0000
278,278,Tokyo International Airport,Osaka International Airport,0,132.0000
279,279,Myrtus,Eustoma,0,133.0000
280,280,Lone Pine Mall,Twin Pines/Lone Pine Mall,0,134.0000
281,281,Sean,Sean,1,134.0000
282,282,2018 Premier League Darts,2018 Unibet Premier League Darts,0,135.0000
283,283,No,no,1,135.0000
284,284,Apalachee,Apalachee,1,135.0000
285,285,Howard Fast,Howard Melvin Fast,0,136.0000
286,286,"To determine the answer, let's follow these steps:

1. Identify the band associated with the song ""I'd Come for You"":
   - From the paragraph about Nickelback, we learn that ""I'd Come for You"" is a song by Nickelback.

2. Find the formation location of Nickelback:
  ",Hanna,0,137.0000
287,287,Jay Van Andel,Jay Van Andel,1,137.0000
288,288,Oklahoma,"Coahuila, Mexico",0,138.0000
289,289,PBS,aired on PBS stations,0,139.0000
290,290,Lush,Lush Ltd.,0,140.0000
291,291,The Boatniks,"The Boatniks is a 1970 American comedy film starring Robert Morse, Stefanie Powers, Don Ameche and Phil Silvers.",0,141.0000
292,292,The Beatles,The Beatles,1,141.0000
293,293,Keith Bostic,Keith Bostic,1,141.0000
294,294,No,no,1,141.0000
295,295,Country Thuggin,Country Thuggin,1,141.0000
296,296,International Boxing Hall of Fame,International Boxing Hall of Fame,1,141.0000
297,297,Kimmy Schmidt,"Kimberly Couger ""Kimmy"" Schmidt",0,142.0000
298,298,"To determine the year the band was formed whose bassist joined Arvas in 1996, let's follow these steps:

1. Identify the bassist who joined Arvas in 1996:
   - According to the context, Grim joined Arvas in 1996.

2.",1992,0,143.0000
299,299,"The United States presidential election of 2016, held on Tuesday, November 8, 2016.",United States presidential election of 2016,0,144.0000
300,300,Dubai International Cricket Stadium,Dubai International Stadium,0,145.0000
301,301,Theo Walcott,Theo James Walcott,0,146.0000
302,302,"To determine the principal activity of the company that Robert Melville previously worked with, we need to follow these steps:

1. Identify the companies Robert Melville has worked with according to the context.
2. Determine which of these companies is still active today.
3. Find out the current principal activity of that company.

Step","design, development, manufacture",0,147.0000
303,303,Jillian Belk,Jillian Belk,1,147.0000
304,304,"To determine the country of origin that André Holland and ""42"" share, let's follow these steps:

1. Identify the nationality of André Holland:
   - André Holland is described as an American actor in the context.

2. Determine the setting of the movie ""42"":
   - ""42"" is",American,0,148.0000
305,305,"Baa, Baa, Black Sheep","""Baa, Baa, Black Sheep""",1,148.0000
306,306,No,yes,0,149.0000
307,307,Ais,Apalachees,0,150.0000
308,308,Dallas Cowboys,Dallas Cowboys,1,150.0000
309,309,Eric Bana,Eric Banadinović,0,151.0000
310,310,Saxe-Coburg and Gotha,Ernestine,0,152.0000
311,311,"income tax, social security, corporate tax","""personal earnings"" (such as salary and wages), ""business income"" and ""capital gains""",0,153.0000
312,312,French Open,French Open,1,153.0000
313,313,19th century,nineteenth,0,154.0000
314,314,2027 Fairmount Avenue between Corinthian Avenue and North 22nd Street,2027 Fairmount Avenue,0,155.0000
315,315,Nevada,Clark County,0,156.0000
316,316,"To determine which country the Falkland Islands beat in the 2010 Commonwealth Games that has eleven administrative divisions, let's follow these steps:

1. Identify the countries the Falkland Islands defeated in the 2010 Commonwealth Games:
   - According to the context, the Falkland Islands won against Samoa",Samoa,0,157.0000
317,317,Minneapolis,"Golden Valley, Minnesota,",0,158.0000
318,318,Russian Empire,Russian Empire,1,158.0000
319,319,Bonnie Claire,Beatty,0,159.0000
320,320,Thom Andersen,Krzysztof Zanussi,0,160.0000
321,321,Point of Entry,Point of Entry,1,160.0000
322,322,David Dobkin,David Dobkin,1,160.0000
323,323,right-hand,right-hand,1,160.0000
324,324,Mickey Gilley,Mickey Gilley,1,160.0000
325,325,writer,poet,0,161.0000
326,326,White Zombie,Blonde Redhead,0,162.0000
327,327,Mitsubishi Motors,Mitsubishi,0,163.0000
328,328,Gallery,"arose on the ""Playboy"" magazine pattern in the 1970s.",0,164.0000
329,329,5,5,1,164.0000
330,330,Trenton–Mercer Airport,Trenton–Mercer Airport,1,164.0000
331,331,"To determine how long the prime minister who appointed the Kellock-Taschereau Commission served in office, let's follow these steps:

1. Identify the prime minister who appointed the Kellock-Taschereau Commission.
   - From the context, we learn that the Kellock-Taschereau Commission",21 years and 154 days,0,165.0000
332,332,glam metal,Glam metal,1,165.0000
333,333,Kohlberg Kravis Roberts,KKR & Co,0,166.0000
334,334,J. G. Farrell,Farrell,0,167.0000
335,335,Blake Shelton,Blake Shelton,1,167.0000
336,336,The Astrodome was considered a marvel of engineering and architecture upon its completion in 1965.,comparable to the seven Wonders of the World,0,168.0000
337,337,"To determine the nickname of the hitman hired by an Italian American Criminal Organization, let's follow these steps:

1. Identify the relevant information about the Italian American Criminal Organization mentioned in the context.
2. Look for details about a hitman associated with this organization.
3. Find any nicknames associated with this hitman",The Crowned Prince of the Philadelphia Mob,0,169.0000
338,338,"Gardnerville, Nevada",Gardnerville,0,170.0000
339,339,Debbie Harry,Debbie Harry,1,170.0000
340,340,Oryzomyini,Oryzomyini,1,170.0000
341,341,people working in film and the performing arts,people working in film and the performing arts,1,170.0000
342,342,Istanbul,"Istanbul, Turkey",0,171.0000
343,343,four months in jail,four months in jail,1,171.0000
344,344,Teriade,Teriade,1,171.0000
345,345,Ephedrine,Ephedrine,1,171.0000
346,346,Holston River Valley,Holston River,0,172.0000
347,347,1926,1926,1,172.0000
348,348,Jamaica,Ghana,0,173.0000
349,349,is an Athenian tragedy by Sophocles,Oedipus Rex,0,174.0000
350,350,No,no,1,174.0000
351,351,Israeli Ambassador to the United States,Israeli Ambassador,0,175.0000
352,352,Craig v. Boren,Craig v. Boren,1,175.0000
353,353,Kansas Song (We're From Kansas),Kansas Song,0,176.0000
354,354,Logan International Airport,Logan International Airport,1,176.0000
355,355,Poleconomy,Hey Pa! There's a Goat on the Roof,0,177.0000
356,356,China,China,1,177.0000
357,357,No,yes,0,178.0000
358,358,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1,178.0000
359,359,Currer Bell,"""Currer Bell""",1,178.0000
360,360,Mick Jackson,James Burke,0,179.0000
361,361,Charles Reed Bishop,Charles Reed Bishop,1,179.0000
362,362,The Korean War,The Western Allied invasion of Germany,0,180.0000
363,363,Red River and Assiniboine River,Red and Assiniboine Rivers,0,181.0000
364,364,Scotland,Scotland,1,181.0000
365,365,Wendell Berry,Wendell Berry,1,181.0000
366,366,number five,number five,1,181.0000
367,367,United States,American,0,182.0000
368,368,Paige O'Hara,Donna Paige Helmintoller,0,183.0000
369,369,The River Welland,65 mi,0,184.0000
370,370,Cocktails,cocktails,1,184.0000
371,371,Manon by Massenet,Parsifal,0,185.0000
372,372,23 November 1946,23 November 1946,1,185.0000
373,373,"Journalist, editor and playwright",Philosophy professor,0,186.0000
374,374,Geelong Football Club,Geelong Football Club,1,186.0000
375,375,Weezer,The Blue Album,0,187.0000
376,376,"728,000 ft² (67,000 m²)","728,000 ft²",0,188.0000
377,377,Folkets Hus,Folkets,0,189.0000
378,378,"48,982","48,982",1,189.0000
379,379,model for one of the characters,technical director,0,190.0000
380,380,"September 8, 2017","September 8, 2017",1,190.0000
381,381,Rowan Blanchard,Rowan Blanchard,1,190.0000
382,382,Not specified,250 million,0,191.0000
383,383,No,no,1,191.0000
384,384,Eminem,Eminem,1,191.0000
385,385,The Marshall Mathers LP 2,"""The Marshall Mathers LP 2""",1,191.0000
386,386,Brigadier General,25,0,192.0000
387,387,Warsaw,"Warsaw, Poland",0,193.0000
388,388,1944,1944,1,193.0000
389,389,No,no,1,193.0000
390,390,Umina Beach,"Umina Beach, New South Wales",0,194.0000
391,391,David Naughton,"David Naughton, Jenny Agutter and Griffin Dunne",0,195.0000
392,392,Adelaide,"Marion, South Australia",0,196.0000
393,393,Daviesia,Daviesia,1,196.0000
394,394,The Kansas–Nebraska Act,Kansas–Nebraska Act,1,196.0000
395,395,Hotpoint,GE Appliances,0,197.0000
396,396,Lee Hazlewood,Barton Lee Hazlewood,0,198.0000
397,397,Yes,yes,1,198.0000
398,398,4,four,0,199.0000
399,399,country,largest country,0,200.0000
400,400,flowering plants,flowering plants,1,200.0000
401,401,"5,124","5,124 rooms",0,201.0000
402,402,Campbell Soup Company,The Campbell Soup Company,1,201.0000
403,403,"Springfield, Massachusetts","city of Springfield, Massachusetts",0,202.0000
404,404,1961,1961,1,202.0000
405,405,American football,American football,1,202.0000
406,406,Producer,director,0,203.0000
407,407,James Victor Chesnutt,Vic Chesnutt,0,204.0000
408,408,Mirosław Hermaszewski,Ulf Dietrich Merbold,0,205.0000
409,409,The First Family of Competitive Eating,"the ""First Family of Competitive Eating""",1,205.0000
410,410,Western Europe,Western Europe,1,205.0000
411,411,Papermaking industry,papermaking industry,1,205.0000
412,412,Beaver and Erie Canal,The Beaver and Erie Canal,1,205.0000
413,413,Zurna,an organ,0,206.0000
414,414,Battle of Manila (1574),Battle of Guam,0,207.0000
415,415,Stephen King,Stephen King,1,207.0000
416,416,No,no,1,207.0000
417,417,"12,272","12,272",1,207.0000
418,418,The 500th episode of 'The Simpsons',show's 500th episode,0,208.0000
419,419,Caesars Palace Grand Prix,Caesars Palace Grand Prix,1,208.0000
420,420,Benj Pasek and Justin Paul,Pasek & Paul,0,209.0000
421,421,an album,an album,1,209.0000
422,422,Yes,yes,1,209.0000
423,423,Bank of China Tower,Hong Kong,0,210.0000
424,424,Hawaii House of Representatives,"Robert ""Bobby"" Bunda",0,211.0000
425,425,World War II and American Civil War,yes,0,212.0000
426,426,Spam,Spam,1,212.0000
427,427,DTM,DTM,1,212.0000
428,428,Jessica Lange,Jessica Lange,1,212.0000
429,429,"86,112","86,112",1,212.0000
430,430,Mayfair,Mayfair,1,212.0000
431,431,Paper Trail,Paper Trail,1,212.0000
432,432,Russell Humphreys,Russell Humphreys,1,212.0000
433,433,Yes,yes,1,212.0000
434,434,documentary,documentary,1,212.0000
435,435,"Atlanta, Georgia",North Avenue at Techwood Drive,0,213.0000
436,436,The name of the award is derived from the EN World web site that has hosted the awards since their inception in 2001.,EN World web site,0,214.0000
437,437,Ursula K. Le Guin,Ursula Kroeber Le Guin,0,215.0000
438,438,Battle of Hürtgen Forest,Battle of Hürtgen Forest,1,215.0000
439,439,Max Mosley,Max Rufus Mosley,0,216.0000
440,440,Volta Region,Volta,0,217.0000
441,441,Private Secretary and Treasurer,Private Secretary and Treasurer,1,217.0000
442,442,seven,seven,1,217.0000
443,443,$10.5 million (USD 8 million),$10.5 million,0,218.0000
444,444,No,no,1,218.0000
445,445,"Louis Mountbatten, 1st Earl Mountbatten of Burma was an uncle of Prince Philip, Duke of Edinburgh, and second cousin once removed of Elizabeth II.",second cousin once removed,0,219.0000
446,446,Kitchens of Distinction,Kitchens of Distinction,1,219.0000
447,447,Free Range Films,Free Range Films,1,219.0000
448,448,It can contain an autonomous administrative division.,the flags,0,220.0000
449,449,Merovech,Merovech,1,220.0000
450,450,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,1,220.0000
451,451,European chinch bug,moth,0,221.0000
452,452,No,no,1,221.0000
453,453,David Weissman,David Weissman,1,221.0000
454,454,Adelaide,McLaren Vale,0,222.0000
455,455,Personal History,Personal History,1,222.0000
456,456,England,England,1,222.0000
457,457,Lev Yilmaz,Levni Yilmaz,0,223.0000
458,458,"Bay Ridge, Brooklyn","Bay Ridge, Brooklyn",1,223.0000
459,459,Copenhagen,Copenhagen,1,223.0000
460,460,Planet Terror,Planet Terror,1,223.0000
461,461,Manchester United F.C.,Manchester United,0,224.0000
462,462,"Franconia, New Hampshire, United States","Franconia, New Hampshire",0,225.0000
463,463,Nicolas Vanier,Nicolas Vanier,1,225.0000
464,464,"Kings Point, New York","Kings Point, New York",1,225.0000
465,465,George Atzerodt,Andrew Johnson,0,226.0000
466,466,Bill Murray,Bill Murray,1,226.0000
467,467,"1,800 games","1,800",0,227.0000
468,468,cranberries,acidic,0,228.0000
469,469,Eddie Collins,Edward Trowbridge Collins Sr.,0,229.0000
470,470,Video games,video game,0,230.0000
471,471,Oklahoma,Sacramento Kings,0,231.0000
472,472,Soha Ali Khan,Soha Ali Khan,1,231.0000
473,473,Shifty Shellshock,Shifty Shellshock,1,231.0000
474,474,anabolic-androgenic steroid (AAS),anabolic–androgenic steroid (AAS),0,232.0000
475,475,Francis Ford Coppola,Ronald Shusett,0,233.0000
476,476,Texas Tech University,Texas Tech University,1,233.0000
477,477,FBS,NCAA Division I FBS football,0,234.0000
478,478,publisher,American schoolteacher and publisher,0,235.0000
479,479,Robert Mulligan,Robert Patrick Mulligan,0,236.0000
