step,pred,label,correct,cumulative_regret
345,Ephedrine,Ephedrine,1,175.0000
346,Holston River Valley,Holston River,0,176.0000
347,1922,1926,0,177.0000
348,Jamaica,Ghana,0,178.0000
349,Hamlet,Oedipus Rex,0,179.0000
350,no,no,1,179.0000
351,Israeli Ambassador to the United States,Israeli Ambassador,0,180.0000
352,Craig v. Boren,Craig v. Boren,1,180.0000
353,Kansas Song,Kansas Song,1,180.0000
354,Logan International Airport,Logan International Airport,1,180.0000
355,Hey Pa! There's a Goat on the Roof,Hey Pa! There's a Goat on the Roof,1,180.0000
356,China,China,1,180.0000
357,yes,yes,1,180.0000
358,Bedknobs and Broomsticks,Bedknobs and Broomsticks,1,180.0000
359,Charlotte Brontë,"""Currer Bell""",0,181.0000
360,Mick Jackson,James Burke,0,182.0000
361,Bernice Pauahi Bishop,Charles Reed Bishop,0,183.0000
362,The Korean War,The Western Allied invasion of Germany,0,184.0000
363,Red River and Assiniboine River,Red and Assiniboine Rivers,0,185.0000
364,Scotland,Scotland,1,185.0000
365,Wendell Berry,Wendell Berry,1,185.0000
366,number five,number five,1,185.0000
367,United States,American,0,186.0000
368,Paige O'Hara,Donna Paige Helmintoller,0,187.0000
369,River Welland,65 mi,0,188.0000
370,cocktails,cocktails,1,188.0000
371,Parsifal,Parsifal,1,188.0000
372,23 November 1946,23 November 1946,1,188.0000
373,"journalist, editor and playwright",Philosophy professor,0,189.0000
374,Geelong Football Club,Geelong Football Club,1,189.0000
375,Weezer,The Blue Album,0,190.0000
376,"728,000 ft² (67,000 m²)","728,000 ft²",0,191.0000
377,Ungdomshuset,Folkets,0,192.0000
378,"48,982","48,982",1,192.0000
379,model for one of the characters,technical director,0,193.0000
380,"September 8, 2017","September 8, 2017",1,193.0000
381,Rowan Blanchard,Rowan Blanchard,1,193.0000
382,not specified,250 million,0,194.0000
383,yes,no,0,195.0000
384,Eminem,Eminem,1,195.0000
385,Unapologetic,"""The Marshall Mathers LP 2""",0,196.0000
386,Valedictorian,25,0,197.0000
387,Warsaw,"Warsaw, Poland",0,198.0000
388,1944,1944,1,198.0000
389,No,no,1,198.0000
390,Umina Beach,"Umina Beach, New South Wales",0,199.0000
391,David Naughton,"David Naughton, Jenny Agutter and Griffin Dunne",0,200.0000
392,Adelaide,"Marion, South Australia",0,201.0000
393,Daviesia,Daviesia,1,201.0000
394,Kansas–Nebraska Act,Kansas–Nebraska Act,1,201.0000
395,Hotpoint,GE Appliances,0,202.0000
396,Lee Hazlewood,Barton Lee Hazlewood,0,203.0000
397,Yes,yes,1,203.0000
398,4,four,0,204.0000
399,country,largest country,0,205.0000
400,flowering plants,flowering plants,1,205.0000
401,"5,124","5,124 rooms",0,206.0000
402,Campbell Soup Company,The Campbell Soup Company,1,206.0000
403,"Springfield, Massachusetts","city of Springfield, Massachusetts",0,207.0000
404,1961,1961,1,207.0000
405,American football,American football,1,207.0000
406,producer,director,0,208.0000
407,James Victor Chesnutt,Vic Chesnutt,0,209.0000
408,Mirosław Hermaszewski,Ulf Dietrich Merbold,0,210.0000
409,First Family of Competitive Eating,"the ""First Family of Competitive Eating""",1,210.0000
410,Western Europe,Western Europe,1,210.0000
411,papermaking,papermaking industry,0,211.0000
412,Beaver and Erie Canal,The Beaver and Erie Canal,1,211.0000
413,Zurna,an organ,0,212.0000
414,Battle of Manila (1574),Battle of Guam,0,213.0000
415,Stephen King,Stephen King,1,213.0000
416,yes,no,0,214.0000
417,"12,272","12,272",1,214.0000
418,500th episode,show's 500th episode,0,215.0000
419,Caesars Palace Grand Prix,Caesars Palace Grand Prix,1,215.0000
420,Benj Pasek and Justin Paul,Pasek & Paul,0,216.0000
421,album,an album,1,216.0000
422,Yes,yes,1,216.0000
423,Bank of China Tower,Hong Kong,0,217.0000
424,Hawaii House of Representatives,"Robert ""Bobby"" Bunda",0,218.0000
425,"World War II, American Civil War",yes,0,219.0000
426,Spam,Spam,1,219.0000
427,DTM,DTM,1,219.0000
428,Jessica Lange,Jessica Lange,1,219.0000
429,"86,112","86,112",1,219.0000
430,Mayfair,Mayfair,1,219.0000
431,Paper Trail,Paper Trail,1,219.0000
432,Russell Humphreys,Russell Humphreys,1,219.0000
433,Yes,yes,1,219.0000
434,documentary,documentary,1,219.0000
435,Grant Field,North Avenue at Techwood Drive,0,220.0000
436,EN World web site,EN World web site,1,220.0000
437,Ursula K. Le Guin,Ursula Kroeber Le Guin,0,221.0000
438,Battle of Hürtgen Forest,Battle of Hürtgen Forest,1,221.0000
439,Max Mosley,Max Rufus Mosley,0,222.0000
440,Volta Region,Volta,0,223.0000
441,Private Secretary and Treasurer,Private Secretary and Treasurer,1,223.0000
442,seven,seven,1,223.0000
443,$10.5 million,$10.5 million,1,223.0000
444,no,no,1,223.0000
445,"Louis Mountbatten, 1st Earl Mountbatten of Burma",second cousin once removed,0,224.0000
446,Kitchens of Distinction,Kitchens of Distinction,1,224.0000
447,Free Range Films,Free Range Films,1,224.0000
448,It can contain local rulers and people ruling over the territory.,the flags,0,225.0000
449,Merovech,Merovech,1,225.0000
450,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,1,225.0000
451,Phyllocnistis liquidambarisella,moth,0,226.0000
452,No,no,1,226.0000
453,David Weissman,David Weissman,1,226.0000
454,McLaren Vale,McLaren Vale,1,226.0000
455,Personal History,Personal History,1,226.0000
456,England,England,1,226.0000
457,Lev Yilmaz,Levni Yilmaz,0,227.0000
458,"Bay Ridge, Brooklyn","Bay Ridge, Brooklyn",1,227.0000
459,Copenhagen,Copenhagen,1,227.0000
460,Planet Terror,Planet Terror,1,227.0000
461,Manchester United F.C.,Manchester United,0,228.0000
462,"Franconia, New Hampshire","Franconia, New Hampshire",1,228.0000
463,Nicolas Vanier,Nicolas Vanier,1,228.0000
464,"Kings Point, New York","Kings Point, New York",1,228.0000
465,George Atzerodt,Andrew Johnson,0,229.0000
466,Brian Doyle-Murray,Bill Murray,0,230.0000
467,"1,800","1,800",1,230.0000
468,cranberries,acidic,0,231.0000
469,Edward Trowbridge Collins Sr.,Edward Trowbridge Collins Sr.,1,231.0000
470,video games,video game,0,232.0000
471,Oklahoma,Sacramento Kings,0,233.0000
472,Sharman Joshi,Soha Ali Khan,0,234.0000
473,Shifty Shellshock,Shifty Shellshock,1,234.0000
474,Nandrolone,anabolic–androgenic steroid (AAS),0,235.0000
475,Gordon Carroll,Ronald Shusett,0,236.0000
476,Texas Tech University,Texas Tech University,1,236.0000
477,FBS,NCAA Division I FBS football,0,237.0000
478,publisher,American schoolteacher and publisher,0,238.0000
479,Robert Mulligan,Robert Patrick Mulligan,0,239.0000
480,"November 15, 1903","November 15, 1903",1,239.0000
481,"Ordos City China Science Flying Universe Science and Technology Co., Ltd.",Ordos City,0,240.0000
482,EA-18G Growler,Boeing EA-18G Growler,0,241.0000
483,"San Luis Obispo, California","San Luis Obispo, California",1,241.0000
484,Mexico City,Mexico City,1,241.0000
485,multiple awards,multiple awards,1,241.0000
486,Choral song,played,0,242.0000
487,Arena of Khazan,Arena of Khazan,1,242.0000
488,Pierre Womé,Pierre Nlend Womé,0,243.0000
489,The Big Bang Theory,"""The Big Bang Theory""",1,243.0000
490,Dave Bautista,David Michael Bautista Jr.,0,244.0000
491,New York City,the world,0,245.0000
492,England,England,1,245.0000
493,Animorphs,Animorphs,1,245.0000
494,"Samuel M ""Sam"" Raimi",Sam Raimi,0,246.0000
495,Yes,yes,1,246.0000
496,1901,1901,1,246.0000
497,John Lasseter,John Alan Lasseter,0,247.0000
498,Progressive Congress,UDC,0,248.0000
499,Thon Maker,Thon Marial Maker,0,249.0000
500,Seven Days Battles,The Seven Days Battles,1,249.0000
501,romantic drama,romantic comedy,0,250.0000
502,0,five times,0,251.0000
503,Gerard Butler,Terry Crews,0,252.0000
504,Restoration Hardware,Restoration Hardware,1,252.0000
505,"January 3, 1989","June 6, 1959",0,253.0000
506,Easter Rising,Easter Rising of 1916,0,254.0000
507,St. George,St.George,0,255.0000
508,"51,271","51,271",1,255.0000
509,Sir George Cayley,George Cayley,0,256.0000
510,Melanie Owen,Melanie Owen,1,256.0000
511,"tales of various deities, beings, and heroes","various deities, beings, and heroes",0,257.0000
512,Reinhard Heydrich,Reinhard Heydrich,1,257.0000
513,Ed Martin,Edward Robert Martin Jr.,0,258.0000
514,2,second,0,259.0000
515,orchids,flowering plants,0,260.0000
516,2008,1996,0,261.0000
517,Viacom International Media Networks,Prof Media,0,262.0000
518,Felicity Jones,Felicity Rose Hadley Jones,0,263.0000
519,Tea Moderna,Tea Moderna,1,263.0000
520,Marsilea,Marsilea,1,263.0000
521,Exeter College,Exeter College,1,263.0000
522,Sue Rose,Thomas Warburton,0,264.0000
523,Ride a Wild Pony,Ride a Wild Pony,1,264.0000
524,Video game,video game,1,264.0000
525,Albert Park,Albert Park,1,264.0000
526,Betano,Hero,0,265.0000
527,minor basilica,a minor basilica,1,265.0000
528,black metal,drummer,0,266.0000
529,"La Gomera, Canary Islands, Spain","Canary Islands, Spain",0,267.0000
530,Rihanna,Stargate,0,268.0000
531,Paris,1926 Paris,0,269.0000
532,CableACE Award for Best Actress in a Dramatic Series,BAFTA TV Award Best Actor,0,270.0000
533,Karen O,Karen O,1,270.0000
534,Detective Inspector Humphrey Goodman,DI Humphrey Goodman,0,271.0000
535,Bismarck,Bismarck,1,271.0000
536,Crystal Dynamics,Crystal Dynamics,1,271.0000
537,William Allen White,middle America,0,272.0000
538,1987,1987,1,272.0000
539,Armenian-American,Armenian–American,0,273.0000
540,Grand Forks International Airport,El Paso International Airport,0,274.0000
541,Ethan Coen,Joel David Coen,0,275.0000
542,Kathleen O'Brien,Kathleen O'Brien,1,275.0000
543,Chaplain to the Forces,Chaplain,0,276.0000
544,203 people per square kilometer / 526 people per square mile,526,0,277.0000
545,Southern State Parkway,Southern State Parkway,1,277.0000
546,Alain Resnais,Scott Sidney,0,278.0000
547,Naked Soldier,"""Naked Killer""",0,279.0000
548,1901,1901,1,279.0000
549,Lismore,Lismore,1,279.0000
550,Hee Haw,Hee Haw,1,279.0000
551,Christopher 'Chris' Tarbell,"Christopher ""Chris"" Tarbell",1,279.0000
552,Último Dragón,Mossad,0,280.0000
553,Vanarama,Vanarama,1,280.0000
554,director,director and producer,0,281.0000
555,Isla Grande de Tierra del Fuego,Isla de Xativa,0,282.0000
556,45,45th,0,283.0000
557,March,March and April,0,284.0000
558,"Alice Springs, Northern Territory, Australia","Alice Springs, Northern Territory",0,285.0000
