batch_idx,n_new,acc_running,cumulative_regret,n_reeval,n_reeval_recovered,n_sdft_pairs,kl_loss,mem_size,gen_time_s,reeval_time_s,train_time_s
71,10,0.4153,421.0000,90,1,50,0.083094,384,21.5,65.4,188.8
72,10,0.4219,422.0000,90,1,55,0.080578,394,3.7,78.8,175.6
73,10,0.4189,430.0000,90,0,50,0.068190,396,8.6,73.9,138.9
74,10,0.4200,435.0000,90,1,52,0.055015,402,5.4,68.7,139.1
75,10,0.4197,441.0000,90,0,53,0.056054,406,6.1,69.3,165.4
76,10,0.4221,445.0000,90,1,56,0.067100,413,7.5,62.7,131.0
77,10,0.4192,453.0000,90,1,51,0.062632,416,3.2,69.5,131.5
78,10,0.4165,461.0000,90,2,50,0.065212,420,6.4,65.0,132.2
79,10,0.4175,466.0000,90,1,50,0.062144,426,6.6,66.2,131.3
80,10,0.4173,472.0000,90,1,50,0.050852,431,9.7,67.3,131.3
81,10,0.4159,479.0000,90,1,49,0.030581,435,11.0,53.6,119.8
82,10,0.4181,483.0000,90,1,47,0.033165,442,7.8,69.3,146.8
83,10,0.4167,490.0000,90,2,49,0.023077,447,6.2,73.0,155.4
84,10,0.4188,494.0000,90,3,52,0.022155,456,3.6,68.1,146.2
85,10,0.4209,498.0000,90,1,54,0.021970,463,5.3,71.6,156.0
86,10,0.4184,506.0000,90,1,49,0.016713,466,9.6,65.6,153.3
87,10,0.4216,509.0000,90,0,52,0.012068,473,4.7,77.4,159.8
88,10,0.4213,515.0000,90,1,51,0.018240,478,4.0,66.8,163.3
89,10,0.4233,519.0000,90,2,54,0.015542,486,5.3,69.3,149.9
90,10,0.4231,525.0000,90,0,53,0.029828,490,28.1,61.0,163.5
91,10,0.4217,532.0000,90,0,52,0.026921,493,28.0,77.5,163.5
92,10,0.4226,537.0000,90,1,51,0.025149,499,5.3,94.9,130.0
93,10,0.4223,543.0000,90,0,49,0.018050,503,4.3,95.3,101.2
94,10,0.4221,549.0000,90,0,46,0.042706,507,28.0,94.3,95.0
95,5,0.4230,551.0000,90,1,44,0.038293,511,4.3,119.6,120.3
