step,problem_id,lib,n_icl,correct,cumulative_regret,mem_size
46,758,Scipy,3,1,32.0000,15
47,595,Matplotlib,3,0,33.0000,15
48,470,Numpy,3,0,34.0000,15
49,25,Pandas,3,0,35.0000,15
50,514,Matplotlib,3,0,36.0000,15
51,239,Pandas,3,1,36.0000,16
52,980,Pytorch,3,1,36.0000,17
53,623,Matplotlib,3,1,36.0000,18
54,252,Pandas,3,0,37.0000,18
55,662,Matplotlib,3,0,38.0000,18
56,171,Pandas,3,0,39.0000,18
57,408,Numpy,3,0,40.0000,18
58,993,Pytorch,3,0,41.0000,18
59,592,Matplotlib,3,1,41.0000,19
60,701,Tensorflow,3,0,42.0000,19
61,427,Numpy,3,0,43.0000,19
62,457,Numpy,3,0,44.0000,19
63,454,Numpy,3,0,45.0000,19
64,151,Pandas,3,0,46.0000,19
65,756,Scipy,3,0,47.0000,19
66,250,Pandas,3,0,48.0000,19
67,904,Sklearn,3,0,49.0000,19
68,324,Numpy,3,1,49.0000,20
69,439,Numpy,3,0,50.0000,20
70,650,Matplotlib,3,0,51.0000,20
71,238,Pandas,3,0,52.0000,20
72,498,Numpy,3,0,53.0000,20
73,806,Scipy,3,0,54.0000,20
74,629,Matplotlib,3,0,55.0000,20
75,468,Numpy,3,0,56.0000,20
76,343,Numpy,3,1,56.0000,21
77,664,Matplotlib,3,1,56.0000,22
78,671,Tensorflow,3,0,57.0000,22
79,652,Matplotlib,3,1,57.0000,23
80,346,Numpy,3,0,58.0000,23
81,381,Numpy,3,1,58.0000,24
82,493,Numpy,3,1,58.0000,25
83,708,Tensorflow,3,1,58.0000,26
84,513,Matplotlib,3,0,59.0000,26
85,563,Matplotlib,3,1,59.0000,27
86,857,Sklearn,3,1,59.0000,28
87,781,Scipy,3,0,60.0000,28
88,135,Pandas,3,1,60.0000,29
89,232,Pandas,3,1,60.0000,30
90,931,Sklearn,3,1,60.0000,31
91,426,Numpy,3,1,60.0000,32
92,660,Matplotlib,3,1,60.0000,33
93,995,Pytorch,3,0,61.0000,33
94,36,Pandas,3,1,61.0000,34
95,545,Matplotlib,3,1,61.0000,35
96,116,Pandas,3,0,62.0000,35
97,434,Numpy,3,1,62.0000,36
98,390,Numpy,3,0,63.0000,36
99,751,Scipy,3,0,64.0000,36
100,797,Scipy,3,1,64.0000,37
101,180,Pandas,3,1,64.0000,38
102,152,Pandas,3,0,65.0000,38
103,38,Pandas,3,0,66.0000,38
104,946,Pytorch,3,0,67.0000,38
105,710,Tensorflow,3,1,67.0000,39
106,789,Scipy,3,0,68.0000,39
107,558,Matplotlib,3,0,69.0000,39
108,142,Pandas,3,0,70.0000,39
109,166,Pandas,3,0,71.0000,39
110,990,Pytorch,3,1,71.0000,40
111,83,Pandas,3,1,71.0000,41
112,914,Sklearn,3,0,72.0000,41
113,230,Pandas,3,0,73.0000,41
114,885,Sklearn,3,0,74.0000,41
115,413,Numpy,3,1,74.0000,42
116,125,Pandas,3,1,74.0000,43
117,726,Scipy,3,0,75.0000,43
118,865,Sklearn,3,0,76.0000,43
119,638,Matplotlib,3,0,77.0000,43
120,96,Pandas,3,0,78.0000,43
121,764,Scipy,3,0,79.0000,43
122,79,Pandas,3,0,80.0000,43
123,579,Matplotlib,3,1,80.0000,44
124,421,Numpy,3,0,81.0000,44
125,179,Pandas,3,0,82.0000,44
126,248,Pandas,3,1,82.0000,45
127,889,Sklearn,3,0,83.0000,45
128,771,Scipy,3,0,84.0000,45
129,435,Numpy,3,1,84.0000,46
130,860,Sklearn,3,0,85.0000,46
131,582,Matplotlib,3,1,85.0000,47
132,302,Numpy,3,1,85.0000,48
133,987,Pytorch,3,0,86.0000,48
134,131,Pandas,3,0,87.0000,48
135,199,Pandas,3,0,88.0000,48
136,996,Pytorch,3,0,89.0000,48
137,898,Sklearn,3,0,90.0000,48
138,934,Pytorch,3,1,90.0000,49
139,900,Sklearn,3,0,91.0000,49
140,150,Pandas,3,0,92.0000,49
141,143,Pandas,3,1,92.0000,50
142,703,Tensorflow,3,0,93.0000,50
143,474,Numpy,3,0,94.0000,50
144,371,Numpy,3,0,95.0000,50
145,551,Matplotlib,3,0,96.0000,50
146,222,Pandas,3,0,97.0000,50
147,835,Sklearn,3,0,98.0000,50
148,306,Numpy,3,1,98.0000,51
149,750,Scipy,3,0,99.0000,51
150,963,Pytorch,3,0,100.0000,51
151,340,Numpy,3,1,100.0000,52
152,767,Scipy,3,0,101.0000,52
153,830,Sklearn,3,0,102.0000,52
154,896,Sklearn,3,0,103.0000,52
155,387,Numpy,3,1,103.0000,53
156,66,Pandas,3,0,104.0000,53
157,297,Numpy,3,1,104.0000,54
158,881,Sklearn,3,0,105.0000,54
159,814,Scipy,3,0,106.0000,54
160,892,Sklearn,3,0,107.0000,54
161,724,Scipy,3,1,107.0000,55
162,991,Pytorch,3,1,107.0000,56
163,193,Pandas,3,0,108.0000,56
164,253,Pandas,3,0,109.0000,56
165,236,Pandas,3,1,109.0000,57
166,891,Sklearn,3,1,109.0000,58
167,674,Tensorflow,3,0,110.0000,58
168,746,Scipy,3,0,111.0000,58
169,315,Numpy,3,1,111.0000,59
170,129,Pandas,3,0,112.0000,59
171,21,Pandas,3,1,112.0000,60
172,673,Tensorflow,3,0,113.0000,60
173,373,Numpy,3,0,114.0000,60
174,598,Matplotlib,3,0,115.0000,60
175,853,Sklearn,3,1,115.0000,61
176,130,Pandas,3,0,116.0000,61
177,544,Matplotlib,3,0,117.0000,61
178,35,Pandas,3,0,118.0000,61
179,867,Sklearn,3,0,119.0000,61
180,203,Pandas,3,0,120.0000,61
181,86,Pandas,3,0,121.0000,61
182,146,Pandas,3,1,121.0000,62
183,433,Numpy,3,1,121.0000,63
184,224,Pandas,3,0,122.0000,63
185,218,Pandas,3,1,122.0000,64
186,960,Pytorch,3,0,123.0000,64
187,417,Numpy,3,0,124.0000,64
188,697,Tensorflow,3,0,125.0000,64
189,552,Matplotlib,3,0,126.0000,64
190,88,Pandas,3,0,127.0000,64
191,624,Matplotlib,3,0,128.0000,64
192,445,Numpy,3,0,129.0000,64
193,268,Pandas,3,0,130.0000,64
194,6,Pandas,3,0,131.0000,64
195,630,Matplotlib,3,1,131.0000,65
196,805,Scipy,3,1,131.0000,66
197,197,Pandas,3,0,132.0000,66
198,950,Pytorch,3,0,133.0000,66
199,11,Pandas,3,1,133.0000,67
200,911,Sklearn,3,0,134.0000,67
201,356,Numpy,3,1,134.0000,68
202,388,Numpy,3,1,134.0000,69
203,281,Pandas,3,0,135.0000,69
204,511,Matplotlib,3,0,136.0000,69
205,120,Pandas,3,0,137.0000,69
206,115,Pandas,3,0,138.0000,69
207,29,Pandas,3,0,139.0000,69
208,367,Numpy,3,0,140.0000,69
209,307,Numpy,3,0,141.0000,69
210,206,Pandas,3,1,141.0000,70
211,9,Pandas,3,0,142.0000,70
212,319,Numpy,3,0,143.0000,70
213,185,Pandas,3,1,143.0000,71
214,808,Scipy,3,0,144.0000,71
215,91,Pandas,3,1,144.0000,72
216,836,Sklearn,3,0,145.0000,72
217,815,Scipy,3,0,146.0000,72
218,479,Numpy,3,1,146.0000,73
219,154,Pandas,3,0,147.0000,73
220,126,Pandas,3,0,148.0000,73
221,909,Sklearn,3,0,149.0000,73
222,455,Numpy,3,1,149.0000,74
223,363,Numpy,3,0,150.0000,74
224,424,Numpy,3,0,151.0000,74
225,278,Pandas,3,0,152.0000,74
226,567,Matplotlib,3,0,153.0000,74
227,43,Pandas,3,0,154.0000,74
228,243,Pandas,3,0,155.0000,74
229,321,Numpy,3,1,155.0000,75
230,883,Sklearn,3,0,156.0000,75
231,304,Numpy,3,0,157.0000,75
232,717,Scipy,3,1,157.0000,76
233,231,Pandas,3,1,157.0000,77
234,550,Matplotlib,3,0,158.0000,77
235,818,Sklearn,3,0,159.0000,77
236,776,Scipy,3,0,160.0000,77
237,328,Numpy,3,0,161.0000,77
238,350,Numpy,3,0,162.0000,77
239,849,Sklearn,3,1,162.0000,78
240,201,Pandas,3,0,163.0000,78
241,368,Numpy,3,0,164.0000,78
242,935,Pytorch,3,0,165.0000,78
243,107,Pandas,3,0,166.0000,78
244,273,Pandas,3,1,166.0000,79
245,331,Numpy,3,0,167.0000,79
246,409,Numpy,3,1,167.0000,80
247,631,Matplotlib,3,1,167.0000,81
248,245,Pandas,3,0,168.0000,81
249,783,Scipy,3,0,169.0000,81
250,448,Numpy,3,1,169.0000,82
251,888,Sklearn,3,1,169.0000,83
252,169,Pandas,3,1,169.0000,84
253,612,Matplotlib,3,0,170.0000,84
254,30,Pandas,3,1,170.0000,85
255,542,Matplotlib,3,0,171.0000,85
256,646,Matplotlib,3,0,172.0000,85
257,813,Scipy,3,0,173.0000,85
258,241,Pandas,3,1,173.0000,86
259,395,Numpy,3,1,173.0000,87
260,119,Pandas,3,1,173.0000,88
261,678,Tensorflow,3,0,174.0000,88
262,902,Sklearn,3,0,175.0000,88
263,360,Numpy,3,1,175.0000,89
264,645,Matplotlib,3,0,176.0000,89
265,614,Matplotlib,3,0,177.0000,89
266,532,Matplotlib,3,0,178.0000,89
267,799,Scipy,3,0,179.0000,89
268,712,Scipy,3,0,180.0000,89
269,527,Matplotlib,3,0,181.0000,89
270,657,Matplotlib,3,0,182.0000,89
271,581,Matplotlib,3,0,183.0000,89
272,429,Numpy,3,1,183.0000,90
273,562,Matplotlib,3,0,184.0000,90
274,793,Scipy,3,1,184.0000,91
275,0,Pandas,3,1,184.0000,92
276,677,Tensorflow,3,0,185.0000,92
277,156,Pandas,3,0,186.0000,92
278,28,Pandas,3,0,187.0000,92
279,768,Scipy,3,0,188.0000,92
280,762,Scipy,3,0,189.0000,92
281,588,Matplotlib,3,1,189.0000,93
282,570,Matplotlib,3,1,189.0000,94
283,501,Numpy,3,1,189.0000,95
284,944,Pytorch,3,0,190.0000,95
285,584,Matplotlib,3,0,191.0000,95
286,274,Pandas,3,1,191.0000,96
287,887,Sklearn,3,0,192.0000,96
288,101,Pandas,3,1,192.0000,97
289,71,Pandas,3,0,193.0000,97
290,464,Numpy,3,1,193.0000,98
291,77,Pandas,3,0,194.0000,98
292,940,Pytorch,3,1,194.0000,99
293,937,Pytorch,3,0,195.0000,99
294,512,Matplotlib,3,0,196.0000,99
295,352,Numpy,3,0,197.0000,99
296,693,Tensorflow,3,0,198.0000,99
297,92,Pandas,3,1,198.0000,100
298,394,Numpy,3,0,199.0000,100
299,259,Pandas,3,1,199.0000,101
300,868,Sklearn,3,1,199.0000,102
301,798,Scipy,3,0,200.0000,102
302,164,Pandas,3,0,201.0000,102
303,244,Pandas,3,0,202.0000,102
304,829,Sklearn,3,1,202.0000,103
305,684,Tensorflow,3,0,203.0000,103
306,796,Scipy,3,0,204.0000,103
307,444,Numpy,3,0,205.0000,103
308,354,Numpy,3,0,206.0000,103
309,775,Scipy,3,0,207.0000,103
310,330,Numpy,3,0,208.0000,103
311,382,Numpy,3,1,208.0000,104
312,62,Pandas,3,0,209.0000,104
313,878,Sklearn,3,1,209.0000,105
314,842,Sklearn,3,0,210.0000,105
315,344,Numpy,3,1,210.0000,106
316,745,Scipy,3,0,211.0000,106
317,336,Numpy,3,1,211.0000,107
318,44,Pandas,3,0,212.0000,107
319,163,Pandas,3,0,213.0000,107
320,890,Sklearn,3,1,213.0000,108
321,936,Pytorch,3,0,214.0000,108
322,153,Pandas,3,0,215.0000,108
323,219,Pandas,3,1,215.0000,109
324,213,Pandas,3,1,215.0000,110
325,591,Matplotlib,3,1,215.0000,111
326,12,Pandas,3,0,216.0000,111
327,56,Pandas,3,0,217.0000,111
328,133,Pandas,3,0,218.0000,111
329,572,Matplotlib,3,0,219.0000,111
330,305,Numpy,3,1,219.0000,112
331,955,Pytorch,3,1,219.0000,113
332,785,Scipy,3,1,219.0000,114
333,334,Numpy,3,1,219.0000,115
334,288,Pandas,3,0,220.0000,115
335,326,Numpy,3,1,220.0000,116
336,225,Pandas,3,0,221.0000,116
337,707,Tensorflow,3,0,222.0000,116
338,576,Matplotlib,3,1,222.0000,117
339,380,Numpy,3,0,223.0000,117
340,998,Pytorch,3,0,224.0000,117
341,803,Scipy,3,0,225.0000,117
342,420,Numpy,3,0,226.0000,117
343,299,Numpy,3,1,226.0000,118
344,447,Numpy,3,0,227.0000,118
345,875,Sklearn,3,1,227.0000,119
346,788,Scipy,3,1,227.0000,120
347,872,Sklearn,3,0,228.0000,120
348,402,Numpy,3,0,229.0000,120
349,536,Matplotlib,3,0,230.0000,120
350,761,Scipy,3,1,230.0000,121
351,312,Numpy,3,1,230.0000,122
352,204,Pandas,3,0,231.0000,122
353,217,Pandas,3,1,231.0000,123
354,48,Pandas,3,0,232.0000,123
355,695,Tensorflow,3,0,233.0000,123
356,496,Numpy,3,1,233.0000,124
357,14,Pandas,3,1,233.0000,125
358,833,Sklearn,3,1,233.0000,126
359,616,Matplotlib,3,0,234.0000,126
360,659,Matplotlib,3,0,235.0000,126
361,379,Numpy,3,0,236.0000,126
362,176,Pandas,3,1,236.0000,127
363,539,Matplotlib,3,0,237.0000,127
364,173,Pandas,3,0,238.0000,127
365,666,Tensorflow,3,0,239.0000,127
366,556,Matplotlib,3,0,240.0000,127
367,546,Matplotlib,3,0,241.0000,127
368,983,Pytorch,3,0,242.0000,127
369,691,Tensorflow,3,0,243.0000,127
370,159,Pandas,3,0,244.0000,127
371,50,Pandas,3,0,245.0000,127
372,8,Pandas,3,0,246.0000,127
373,541,Matplotlib,3,0,247.0000,127
374,298,Numpy,3,0,248.0000,127
375,365,Numpy,3,0,249.0000,127
376,198,Pandas,3,0,250.0000,127
377,60,Pandas,3,0,251.0000,127
378,361,Numpy,3,1,251.0000,128
379,289,Pandas,3,1,251.0000,129
380,975,Pytorch,3,1,251.0000,130
381,905,Sklearn,3,0,252.0000,130
382,817,Sklearn,3,0,253.0000,130
383,748,Scipy,3,1,253.0000,131
384,565,Matplotlib,3,0,254.0000,131
385,734,Scipy,3,1,254.0000,132
386,237,Pandas,3,0,255.0000,132
387,774,Scipy,3,0,256.0000,132
388,894,Sklearn,3,1,256.0000,133
389,988,Pytorch,3,0,257.0000,133
390,825,Sklearn,3,0,258.0000,133
391,20,Pandas,3,1,258.0000,134
392,480,Numpy,3,1,258.0000,135
393,271,Pandas,3,1,258.0000,136
394,476,Numpy,3,0,259.0000,136
395,834,Sklearn,3,0,260.0000,136
396,530,Matplotlib,3,0,261.0000,136
397,780,Scipy,3,0,262.0000,136
398,986,Pytorch,3,0,263.0000,136
399,183,Pandas,3,0,264.0000,136
400,140,Pandas,3,1,264.0000,137
401,393,Numpy,3,0,265.0000,137
402,202,Pandas,3,0,266.0000,137
403,725,Scipy,3,1,266.0000,138
404,743,Scipy,3,1,266.0000,139
405,124,Pandas,3,1,266.0000,140
406,951,Pytorch,3,0,267.0000,140
407,59,Pandas,3,0,268.0000,140
408,823,Sklearn,3,1,268.0000,141
409,716,Scipy,3,0,269.0000,141
410,766,Scipy,3,0,270.0000,141
411,688,Tensorflow,3,0,271.0000,141
412,690,Tensorflow,3,0,272.0000,141
413,472,Numpy,3,1,272.0000,142
414,64,Pandas,3,0,273.0000,142
415,234,Pandas,3,1,273.0000,143
416,873,Sklearn,3,0,274.0000,143
417,719,Scipy,3,1,274.0000,144
418,585,Matplotlib,3,0,275.0000,144
419,461,Numpy,3,0,276.0000,144
420,40,Pandas,3,0,277.0000,144
421,977,Pytorch,3,0,278.0000,144
422,601,Matplotlib,3,0,279.0000,144
423,478,Numpy,3,0,280.0000,144
424,589,Matplotlib,3,0,281.0000,144
425,694,Tensorflow,3,0,282.0000,144
426,915,Sklearn,3,1,282.0000,145
427,132,Pandas,3,0,283.0000,145
428,72,Pandas,3,0,284.0000,145
429,138,Pandas,3,0,285.0000,145
430,121,Pandas,3,0,286.0000,145
431,46,Pandas,3,0,287.0000,145
432,482,Numpy,3,1,287.0000,146
433,184,Pandas,3,1,287.0000,147
434,53,Pandas,3,0,288.0000,147
435,715,Scipy,3,1,288.0000,148
436,33,Pandas,3,1,288.0000,149
437,966,Pytorch,3,0,289.0000,149
438,794,Scipy,3,1,289.0000,150
439,26,Pandas,3,0,290.0000,150
440,415,Numpy,3,0,291.0000,150
441,509,Numpy,3,0,292.0000,150
442,772,Scipy,3,0,293.0000,150
443,374,Numpy,3,0,294.0000,150
444,431,Numpy,3,0,295.0000,150
445,742,Scipy,3,0,296.0000,150
446,168,Pandas,3,1,296.0000,151
447,531,Matplotlib,3,0,297.0000,151
448,399,Numpy,3,0,298.0000,151
449,471,Numpy,3,1,298.0000,152
450,172,Pandas,3,0,299.0000,152
451,269,Pandas,3,0,300.0000,152
452,596,Matplotlib,3,0,301.0000,152
453,258,Pandas,3,0,302.0000,152
454,731,Scipy,3,1,302.0000,153
455,879,Sklearn,3,0,303.0000,153
456,714,Scipy,3,1,303.0000,154
457,144,Pandas,3,1,303.0000,155
458,463,Numpy,3,0,304.0000,155
459,220,Pandas,3,0,305.0000,155
460,740,Scipy,3,0,306.0000,155
461,85,Pandas,3,0,307.0000,155
462,852,Sklearn,3,1,307.0000,156
463,704,Tensorflow,3,0,308.0000,156
464,627,Matplotlib,3,0,309.0000,156
465,723,Scipy,3,0,310.0000,156
466,807,Scipy,3,0,311.0000,156
467,226,Pandas,3,0,312.0000,156
468,110,Pandas,3,0,313.0000,156
469,869,Sklearn,3,1,313.0000,157
470,984,Pytorch,3,0,314.0000,157
471,663,Matplotlib,3,1,314.0000,158
472,561,Matplotlib,3,0,315.0000,158
473,802,Scipy,3,0,316.0000,158
474,729,Scipy,3,0,317.0000,158
475,952,Pytorch,3,0,318.0000,158
476,377,Numpy,3,1,318.0000,159
477,351,Numpy,3,0,319.0000,159
478,174,Pandas,3,0,320.0000,159
479,784,Scipy,3,0,321.0000,159
480,155,Pandas,3,0,322.0000,159
481,795,Scipy,3,0,323.0000,159
482,709,Tensorflow,3,0,324.0000,159
483,816,Scipy,3,1,324.0000,160
484,964,Pytorch,3,1,324.0000,161
485,47,Pandas,3,0,325.0000,161
486,670,Tensorflow,3,0,326.0000,161
487,400,Numpy,3,1,326.0000,162
488,97,Pandas,3,1,326.0000,163
489,840,Sklearn,3,1,326.0000,164
490,778,Scipy,3,1,326.0000,165
491,211,Pandas,3,0,327.0000,165
492,309,Numpy,3,1,327.0000,166
493,619,Matplotlib,3,0,328.0000,166
494,845,Sklearn,3,1,328.0000,167
495,3,Pandas,3,1,328.0000,168
496,971,Pytorch,3,1,328.0000,169
497,683,Tensorflow,3,0,329.0000,169
498,192,Pandas,3,0,330.0000,169
499,406,Numpy,3,0,331.0000,169
500,738,Scipy,3,1,331.0000,170
501,80,Pandas,3,0,332.0000,170
502,744,Scipy,3,1,332.0000,171
503,419,Numpy,3,0,333.0000,171
504,357,Numpy,3,0,334.0000,171
505,644,Matplotlib,3,0,335.0000,171
506,422,Numpy,3,0,336.0000,171
507,923,Sklearn,3,0,337.0000,171
508,929,Sklearn,3,1,337.0000,172
509,603,Matplotlib,3,0,338.0000,172
510,208,Pandas,3,0,339.0000,172
511,345,Numpy,3,0,340.0000,172
512,256,Pandas,3,1,340.0000,173
513,145,Pandas,3,1,340.0000,174
514,854,Sklearn,3,1,340.0000,175
515,488,Numpy,3,1,340.0000,176
516,713,Scipy,3,1,340.0000,177
517,90,Pandas,3,0,341.0000,177
518,469,Numpy,3,0,342.0000,177
519,800,Scipy,3,0,343.0000,177
520,441,Numpy,3,1,343.0000,178
521,108,Pandas,3,0,344.0000,178
522,404,Numpy,3,0,345.0000,178
523,338,Numpy,3,0,346.0000,178
524,68,Pandas,3,0,347.0000,178
525,575,Matplotlib,3,0,348.0000,178
526,741,Scipy,3,1,348.0000,179
527,700,Tensorflow,3,0,349.0000,179
528,705,Tensorflow,3,0,350.0000,179
529,728,Scipy,3,0,351.0000,179
530,747,Scipy,3,0,352.0000,179
531,194,Pandas,3,0,353.0000,179
532,925,Sklearn,3,0,354.0000,179
533,569,Matplotlib,3,1,354.0000,180
534,855,Sklearn,3,1,354.0000,181
535,58,Pandas,3,0,355.0000,181
536,462,Numpy,3,0,356.0000,181
537,901,Sklearn,3,0,357.0000,181
538,261,Pandas,3,1,357.0000,182
539,398,Numpy,3,1,357.0000,183
540,755,Scipy,3,0,358.0000,183
541,871,Sklearn,3,1,358.0000,184
542,459,Numpy,3,1,358.0000,185
543,632,Matplotlib,3,0,359.0000,185
544,647,Matplotlib,3,0,360.0000,185
545,580,Matplotlib,3,0,361.0000,185
546,954,Pytorch,3,1,361.0000,186
547,235,Pandas,3,1,361.0000,187
548,280,Pandas,3,0,362.0000,187
549,922,Sklearn,3,0,363.0000,187
550,618,Matplotlib,3,0,364.0000,187
551,573,Matplotlib,3,0,365.0000,187
552,293,Numpy,3,1,365.0000,188
553,538,Matplotlib,3,0,366.0000,188
554,178,Pandas,3,0,367.0000,188
555,516,Matplotlib,3,0,368.0000,188
556,680,Tensorflow,3,0,369.0000,188
557,981,Pytorch,3,1,369.0000,189
558,229,Pandas,3,1,369.0000,190
559,353,Numpy,3,0,370.0000,190
560,84,Pandas,3,0,371.0000,190
561,607,Matplotlib,3,1,371.0000,191
562,668,Tensorflow,3,0,372.0000,191
563,559,Matplotlib,3,0,373.0000,191
564,870,Sklearn,3,1,373.0000,192
565,686,Tensorflow,3,0,374.0000,192
566,282,Pandas,3,0,375.0000,192
567,522,Matplotlib,3,0,376.0000,192
568,438,Numpy,3,1,376.0000,193
569,160,Pandas,3,0,377.0000,193
570,74,Pandas,3,0,378.0000,193
571,733,Scipy,3,1,378.0000,194
572,938,Pytorch,3,1,378.0000,195
573,969,Pytorch,3,0,379.0000,195
574,200,Pandas,3,0,380.0000,195
575,757,Scipy,3,1,380.0000,196
576,517,Matplotlib,3,0,381.0000,196
577,754,Scipy,3,0,382.0000,196
578,979,Pytorch,3,0,383.0000,196
579,295,Numpy,3,1,383.0000,197
580,423,Numpy,3,0,384.0000,197
581,118,Pandas,3,1,384.0000,198
582,337,Numpy,3,1,384.0000,199
583,985,Pytorch,3,0,385.0000,199
584,947,Pytorch,3,1,385.0000,200
585,215,Pandas,3,1,385.0000,201
586,924,Sklearn,3,0,386.0000,201
587,54,Pandas,3,0,387.0000,201
588,880,Sklearn,3,0,388.0000,201
589,737,Scipy,3,1,388.0000,202
590,847,Sklearn,3,0,389.0000,202
591,643,Matplotlib,3,0,390.0000,202
592,765,Scipy,3,0,391.0000,202
593,446,Numpy,3,0,392.0000,202
594,284,Pandas,3,0,393.0000,202
595,897,Sklearn,3,1,393.0000,203
596,874,Sklearn,3,0,394.0000,203
597,99,Pandas,3,1,394.0000,204
598,139,Pandas,3,1,394.0000,205
599,926,Sklearn,3,0,395.0000,205
600,320,Numpy,3,1,395.0000,206
601,246,Pandas,3,0,396.0000,206
602,23,Pandas,3,1,396.0000,207
603,191,Pandas,3,0,397.0000,207
604,505,Numpy,3,0,398.0000,207
605,264,Pandas,3,0,399.0000,207
606,824,Sklearn,3,1,399.0000,208
607,465,Numpy,3,0,400.0000,208
608,792,Scipy,3,1,400.0000,209
609,610,Matplotlib,3,0,401.0000,209
610,636,Matplotlib,3,0,402.0000,209
611,653,Matplotlib,3,0,403.0000,209
612,801,Scipy,3,1,403.0000,210
613,520,Matplotlib,3,0,404.0000,210
614,436,Numpy,3,1,404.0000,211
615,430,Numpy,3,0,405.0000,211
616,262,Pandas,3,1,405.0000,212
617,242,Pandas,3,0,406.0000,212
618,698,Tensorflow,3,0,407.0000,212
619,822,Sklearn,3,1,407.0000,213
620,656,Matplotlib,3,0,408.0000,213
621,594,Matplotlib,3,0,409.0000,213
622,907,Sklearn,3,0,410.0000,213
623,486,Numpy,3,1,410.0000,214
624,103,Pandas,3,1,410.0000,215
625,414,Numpy,3,0,411.0000,215
626,327,Numpy,3,1,411.0000,216
627,104,Pandas,3,0,412.0000,216
628,844,Sklearn,3,1,412.0000,217
629,906,Sklearn,3,0,413.0000,217
630,841,Sklearn,3,1,413.0000,218
631,443,Numpy,3,1,413.0000,219
632,692,Tensorflow,3,0,414.0000,219
633,31,Pandas,3,1,414.0000,220
634,676,Tensorflow,3,0,415.0000,220
635,383,Numpy,3,1,415.0000,221
636,254,Pandas,3,1,415.0000,222
637,17,Pandas,3,1,415.0000,223
638,24,Pandas,3,1,415.0000,224
639,355,Numpy,3,1,415.0000,225
640,679,Tensorflow,3,0,416.0000,225
641,378,Numpy,3,1,416.0000,226
642,782,Scipy,3,1,416.0000,227
643,769,Scipy,3,1,416.0000,228
644,568,Matplotlib,3,0,417.0000,228
645,460,Numpy,3,1,417.0000,229
646,19,Pandas,3,1,417.0000,230
647,162,Pandas,3,0,418.0000,230
648,16,Pandas,3,1,418.0000,231
649,899,Sklearn,3,0,419.0000,231
650,308,Numpy,3,1,419.0000,232
651,968,Pytorch,3,1,419.0000,233
652,495,Numpy,3,1,419.0000,234
653,325,Numpy,3,1,419.0000,235
654,73,Pandas,3,0,420.0000,235
655,75,Pandas,3,0,421.0000,235
656,515,Matplotlib,3,0,422.0000,235
657,831,Sklearn,3,1,422.0000,236
658,997,Pytorch,3,0,423.0000,236
659,577,Matplotlib,3,0,424.0000,236
660,913,Sklearn,3,1,424.0000,237
661,958,Pytorch,3,1,424.0000,238
662,283,Pandas,3,0,425.0000,238
663,574,Matplotlib,3,0,426.0000,238
664,456,Numpy,3,0,427.0000,238
665,862,Sklearn,3,0,428.0000,238
666,639,Matplotlib,3,0,429.0000,238
667,466,Numpy,3,1,429.0000,239
668,658,Matplotlib,3,1,429.0000,240
669,777,Scipy,3,1,429.0000,241
670,739,Scipy,3,0,430.0000,241
671,27,Pandas,3,0,431.0000,241
672,249,Pandas,3,1,431.0000,242
673,292,Numpy,3,1,431.0000,243
674,477,Numpy,3,1,431.0000,244
675,265,Pandas,3,0,432.0000,244
676,819,Sklearn,3,0,433.0000,244
